sample	library_accession	rna_library_accession	rna_experiment_accession	experiment_accession	file_accession	multiome_experiment_accession	timepoint	sex	rep	tissue
A_14_F_1	ENCLB464IHK	ENCLB069PRB	ENCSR402PHR	ENCSR834NRP	ENCFF176LJV	ENCSR226SCP	PND_14	Female	1	Adrenal
A_14_F_2	ENCLB091RNF	ENCLB293BAX	ENCSR157YJO	ENCSR858YSB	ENCFF622EUO	ENCSR865JAB	PND_14	Female	2	Adrenal
A_14_M_1	ENCLB663TUU	ENCLB663TUU	ENCSR021YYL	ENCSR736ABS	ENCFF042ZJI	ENCSR616MKL	PND_14	Male	1	Adrenal
A_14_M_2	ENCLB347LBP	ENCLB568RWC	ENCSR988AMY	ENCSR713FPX	ENCFF035SPT	ENCSR156FOG	PND_14	Male	2	Adrenal
A_2m_F_1	ENCLB281UVX	ENCLB139QES	ENCSR908CQZ	ENCSR668VPD	ENCFF683IBE	ENCSR444PES	PNM_02	Female	1	Adrenal
A_2m_F_2	ENCLB701VDT	ENCLB442AMV	ENCSR749GDE	ENCSR400PXQ	ENCFF119IVK	ENCSR097ZGV	PNM_02	Female	2	Adrenal
A_2m_M_1	ENCLB810QUN	ENCLB607FDJ	ENCSR224OUG	ENCSR525WPH	ENCFF187VMN	ENCSR348VTH	PNM_02	Male	1	Adrenal
A_2m_M_2	ENCLB361OIH	ENCLB495DSX	ENCSR356VJZ	ENCSR024LKR	ENCFF101BLM	ENCSR224VRR	PNM_02	Male	2	Adrenal
H_14_F_1	ENCLB896PUK	ENCLB866MAL	ENCSR333SLJ	ENCSR978JAI	ENCFF151YWH	ENCSR372UUV	PND_14	Female	1	Heart
H_14_F_2	ENCLB991DDS	ENCLB808STP	ENCSR415HEP	ENCSR847HTC	ENCFF135RXW	ENCSR684FTW	PND_14	Female	2	Heart
H_14_M_1	ENCLB062XKX	ENCLB807HIR	ENCSR568GGW	ENCSR727ZZE	ENCFF152GXR	ENCSR048YMP	PND_14	Male	1	Heart
