technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
10x	Adrenal	Female	PND_14	ENCSR402PHR	ENCLB069PRB	ENCFF221WGK
10x	Adrenal	Female	PND_14	ENCSR157YJO	ENCLB293BAX	ENCFF394IGL
10x	Adrenal	Male	PND_14	ENCSR021YYL	ENCLB663TUU	ENCFF492ORZ
10x	Adrenal	Male	PND_14	ENCSR988AMY	ENCLB568RWC	ENCFF453JNI
10x	Adrenal	Female	PNM_02	ENCSR908CQZ	ENCLB139QES	ENCFF910YZU
10x	Adrenal	Female	PNM_02	ENCSR749GDE	ENCLB442AMV	ENCFF955YJV
10x	Adrenal	Male	PNM_02	ENCSR224OUG	ENCLB607FDJ	ENCFF926IRN
10x	Adrenal	Male	PNM_02	ENCSR356VJZ	ENCLB495DSX	ENCFF620QGJ
Parse	Adrenal	Female	PND_04	ENCSR312AOC	ENCLB478VRS	ENCFF347IBQ
Parse	Adrenal	Female	PND_04	ENCSR312AOC	ENCLB048AFA	ENCFF912OZD
Parse	Adrenal	Male	PND_04	ENCSR165FLF	ENCLB669VKT	ENCFF136BWA
Parse	Adrenal	Male	PND_04	ENCSR165FLF	ENCLB219ADY	ENCFF881IVZ
Parse	Adrenal	Female	PND_10	ENCSR111SCI	ENCLB372WFL	ENCFF908RWZ
Parse	Adrenal	Female	PND_10	ENCSR111SCI	ENCLB487UAH	ENCFF957QDM
Parse	Adrenal	Male	PND_10	ENCSR662TPD	ENCLB415QIR	ENCFF278LFJ
Parse	Adrenal	Male	PND_10	ENCSR662TPD	ENCLB516LIK	ENCFF081NID
Parse	Adrenal	Female	PND_14	ENCSR998YMP	ENCLB486GRF	ENCFF115XKD
Parse	Adrenal	Female	PND_14	ENCSR998YMP	ENCLB366QRE	ENCFF946NJC
Parse	Adrenal	Male	PND_14	ENCSR776XMP	ENCLB919ROH	ENCFF188DXG
Parse	Adrenal	Male	PND_14	ENCSR776XMP	ENCLB008UFH	ENCFF649DJW
Parse	Adrenal	Female	PND_25	ENCSR396XOO	ENCLB071PVC	ENCFF756MCT
Parse	Adrenal	Female	PND_25	ENCSR396XOO	ENCLB256KMY	ENCFF305GTC
Parse	Adrenal	Male	PND_25	ENCSR711LRI	ENCLB867WXY	ENCFF907APV
Parse	Adrenal	Male	PND_25	ENCSR711LRI	ENCLB796MAN	ENCFF892LYK
Parse	Adrenal	Female	PND_36	ENCSR826EHD	ENCLB849GLG	ENCFF252PKI
Parse	Adrenal	Female	PND_36	ENCSR826EHD	ENCLB637TJZ	ENCFF359FSC
Parse	Adrenal	Male	PND_36	ENCSR108ZIJ	ENCLB561FUO	ENCFF112KSY
