File accession	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Tissue_short	Age_short	Sex_short	Rep_short	Sample	Biological replicate(s)	Biosample type	Biosample organism	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR				Sample
ENCFF634BLK	mm10	ENCSR007NGM	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	2m	M	1	A_2m_M_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF885GVN/"	11898460	ENCODE Processing Pipeline	a25f81b5636a6b0bd1e7c5ab275a9b22		https://www.encodeproject.org/files/ENCFF634BLK/@@download/ENCFF634BLK.tsv	M21			released	s3://encode-public/2021/05/24/c446734f-5955-4a63-a502-0ba617610d39/ENCFF634BLK.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_2m_M_1
ENCFF033DXE	mm10	ENCSR007NGM	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	2m	M	2	A_2m_M_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF686EPK/, /files/ENCFF363TFV/"	11895119	ENCODE Processing Pipeline	9e35bc778b0f3c8e3382d3c80b785e77		https://www.encodeproject.org/files/ENCFF033DXE/@@download/ENCFF033DXE.tsv	M21			released	s3://encode-public/2021/05/24/f12b7a89-15d4-4404-bc50-55d17aa1b909/ENCFF033DXE.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_2m_M_2
ENCFF463LHQ	mm10	ENCSR129DEA	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	A	8m	M	1	A_8m_M_1	1	tissue	Mus musculus	RNA					reverse	2/23/22	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF265TSU/"	11881653	ENCODE Processing Pipeline	aae8d219d7ade4aef5cfb8f965464412		https://www.encodeproject.org/files/ENCFF463LHQ/@@download/ENCFF463LHQ.tsv	M21			released	s3://encode-public/2022/02/10/9dfa879e-1625-4dba-b077-3e3df9c56a3d/ENCFF463LHQ.tsv	ENCODE4 v1.2.4 mm10 M21	released							A_8m_M_1
ENCFF344TWA	mm10	ENCSR129DEA	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	A	8m	M	2	A_8m_M_2	2	tissue	Mus musculus	RNA					reverse	2/23/22	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF105BVL/"	11877405	ENCODE Processing Pipeline	ef3a267c5ae2b1aa7a4939b28df5fac5		https://www.encodeproject.org/files/ENCFF344TWA/@@download/ENCFF344TWA.tsv	M21			released	s3://encode-public/2022/02/10/a5050d46-d39a-4d3c-b66c-d2a85762e967/ENCFF344TWA.tsv	ENCODE4 v1.2.4 mm10 M21	released							A_8m_M_2
ENCFF346PFG	mm10	ENCSR158WTT	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	4	F	1	A_4_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF812VBY/, /files/ENCFF363TFV/"	11884942	ENCODE Processing Pipeline	2069841b1ea9443858551b14a5fe718f		https://www.encodeproject.org/files/ENCFF346PFG/@@download/ENCFF346PFG.tsv	M21			released	s3://encode-public/2021/05/24/5c91f7b5-ea6c-4c07-87b0-a5194caba828/ENCFF346PFG.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_4_F_1
ENCFF628PHU	mm10	ENCSR158WTT	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	4	F	2	A_4_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF075DWI/"	11889013	ENCODE Processing Pipeline	d750e05519e91e84daa81e6567bd4419		https://www.encodeproject.org/files/ENCFF628PHU/@@download/ENCFF628PHU.tsv	M21			released	s3://encode-public/2021/05/24/048e7277-e143-4552-92aa-333a9e8e1a84/ENCFF628PHU.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_4_F_2
ENCFF641ZWM	mm10	ENCSR195UUB	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	10	F	1	A_10_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF363TFV/, /files/ENCFF024EYT/"	11886907	ENCODE Processing Pipeline	393e830f8363d42a4a6c632dc61ff710		https://www.encodeproject.org/files/ENCFF641ZWM/@@download/ENCFF641ZWM.tsv	M21			released	s3://encode-public/2021/05/24/e96904a8-1f31-43cb-b51b-e7716b6332cf/ENCFF641ZWM.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_10_F_1
ENCFF076XTD	mm10	ENCSR195UUB	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	10	F	2	A_10_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF363TFV/, /files/ENCFF655IJW/"	11884980	ENCODE Processing Pipeline	6b3a5d93db600a86e4afbc3aa1b8ea78		https://www.encodeproject.org/files/ENCFF076XTD/@@download/ENCFF076XTD.tsv	M21			released	s3://encode-public/2021/05/24/455c1bd3-73ec-4064-a2f8-436e7658f202/ENCFF076XTD.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_10_F_2
ENCFF255SHF	mm10	ENCSR270SAI	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	36	F	1	A_36_F_1	1	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			1	1_1	"/files/ENCFF958RJM/, /files/ENCFF363TFV/"	11897194	ENCODE Processing Pipeline	42af6dd0fdce6748475c8eeac39066ed		https://www.encodeproject.org/files/ENCFF255SHF/@@download/ENCFF255SHF.tsv	M21			released	s3://encode-public/2021/05/24/defd7422-d8e5-4cbd-8e18-7f84478290d9/ENCFF255SHF.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_36_F_1
ENCFF070ZBV	mm10	ENCSR270SAI	total RNA-seq	/mouse-donors/ENCDO509HIY/	UBERON:0002369	adrenal gland	A	36	F	2	A_36_F_2	2	tissue	Mus musculus	RNA					reverse	6/17/21	ENCODE			2	2_1	"/files/ENCFF108YNM/, /files/ENCFF363TFV/"	11901549	ENCODE Processing Pipeline	35204c3fdfd818177e8e4ea5891a815d		https://www.encodeproject.org/files/ENCFF070ZBV/@@download/ENCFF070ZBV.tsv	M21			released	s3://encode-public/2021/05/24/ef15059e-f2cb-4a61-988f-e7fafd82e451/ENCFF070ZBV.tsv	ENCODE4 v1.2.3 mm10 M21	released							A_36_F_2
