technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
10x	Cortex	Female	PND_14	ENCSR720TUP	ENCLB676AMA	ENCFF225JAP
10x	Cortex	Female	PND_14	ENCSR632EIK	ENCLB766ZBL	ENCFF878SIN
10x	Cortex	Male	PND_14	ENCSR133XJX	ENCLB983BCX	ENCFF936DLK
10x	Cortex	Male	PND_14	ENCSR624WDN	ENCLB063XDV	ENCFF541XGA
10x	Cortex	Female	PNM_02	ENCSR467GGT	ENCLB807VEG	ENCFF305KOJ
10x	Cortex	Female	PNM_02	ENCSR224RWH	ENCLB275OVJ	ENCFF396UPV
10x	Cortex	Male	PNM_02	ENCSR421YXX	ENCLB432ZEQ	ENCFF895SZY
10x	Cortex	Male	PNM_02	ENCSR132MEW	ENCLB675MBI	ENCFF493KLP
Parse	Cortex	Female	PND_04	ENCSR490RCS	ENCLB966DFA	ENCFF572IZI
Parse	Cortex	Female	PND_04	ENCSR490RCS	ENCLB001CZH	ENCFF466YUQ
Parse	Cortex	Male	PND_04	ENCSR037LFG	ENCLB872HTN	ENCFF508EVC
Parse	Cortex	Male	PND_04	ENCSR037LFG	ENCLB613RTM	ENCFF941EYP
Parse	Cortex	Female	PND_10	ENCSR827AOS	ENCLB067KRK	ENCFF919HMB
Parse	Cortex	Female	PND_10	ENCSR827AOS	ENCLB577LGZ	ENCFF887VTC
Parse	Cortex	Male	PND_10	ENCSR527LIA	ENCLB010QHA	ENCFF550CQR
Parse	Cortex	Male	PND_10	ENCSR527LIA	ENCLB324TXL	ENCFF407KYC
Parse	Cortex	Female	PND_14	ENCSR084RQP	ENCLB870FRH	ENCFF042LCU
Parse	Cortex	Female	PND_14	ENCSR084RQP	ENCLB475AQQ	ENCFF198ZDZ
Parse	Cortex	Male	PND_14	ENCSR118FCJ	ENCLB585BUB	ENCFF403CLZ
Parse	Cortex	Male	PND_14	ENCSR118FCJ	ENCLB353TUN	ENCFF888RLC
Parse	Cortex	Female	PND_25	ENCSR611QJH	ENCLB532ZTA	ENCFF775LEK
Parse	Cortex	Female	PND_25	ENCSR611QJH	ENCLB801VVS	ENCFF028VIG
Parse	Cortex	Male	PND_25	ENCSR248MFG	ENCLB956COJ	ENCFF152DEP
Parse	Cortex	Male	PND_25	ENCSR248MFG	ENCLB878KRT	ENCFF502SOX
Parse	Cortex	Female	PND_36	ENCSR450IJU	ENCLB820KSP	ENCFF873UCS
Parse	Cortex	Female	PND_36	ENCSR450IJU	ENCLB278RJO	ENCFF150XJB
Parse	Cortex	Male	PND_36	ENCSR254SLA	ENCLB776BDA	ENCFF677GSK
Parse	Cortex	Male	PND_36	ENCSR254SLA	ENCLB349IZR	ENCFF685OER
Parse	Cortex	Female	PNM_02	ENCSR839BHY	ENCLB486POI	ENCFF778DIX
Parse	Cortex	Female	PNM_02	ENCSR839BHY	ENCLB859SFU	ENCFF265IUT
Parse	Cortex	Male	PNM_02	ENCSR793HMA	ENCLB883MZY	ENCFF671RVS
Parse	Cortex	Male	PNM_02	ENCSR793HMA	ENCLB126LEY	ENCFF789ZSK
Parse	Cortex	Female	PNM_18-20	ENCSR308DHB	ENCLB706UWR	ENCFF774FRA
Parse	Cortex	Female	PNM_18-20	ENCSR308DHB	ENCLB581OUI	ENCFF622NZZ
