tissue,gen_celltype,celltypes,subtypes,gen_celltype_color,celltype_color,subtype_color
Adrenal,Adipocytes,Adipocytes,Adipocytes,#FFA60F,#FFA60F,#FFA60F
Adrenal,Capsule,Capsule,Capsule,#236d88,#236d88,#236d88
Adrenal,Cortex,Cortex,Cortex_ZF,#f0c130,#f0c130,#f0c130
Adrenal,Cortex,Cortex,Cortex_ZG,#f0c130,#f0c130,#b23739
Adrenal,Cortex,Cortex,X_zone,#f0c130,#f0c130,#86b84d
Adrenal,Cortex,Cortex,Y_zone,#f0c130,#f0c130,#e37381
Adrenal,Cycling,Cycling,Cortex_cycling,#73c6f0,#73c6f0,#52a6d1
Adrenal,Cycling,Cycling,Endothelial_cycling,#73c6f0,#73c6f0,#aaed66
Adrenal,Endothelial,Endothelial,Endothelial,#73c6f0,#73c6f0,#799c57
Adrenal,Fibroblast,Fibroblast,Fibroblast1,#f0e92b,#f0e92b,#ffc803
Adrenal,Fibroblast,Fibroblast,Fibroblast2,#f0e92b,#f0e92b,#aebe09
Adrenal,Cycling,Cycling,Fibroblast_cycling,#73c6f0,#73c6f0,#c8ff01
Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,#ad7797,#ad7797,#ad7797
Adrenal,Medulla,Medulla,Medulla_NE,#339470,#339470,#97578a
Adrenal,Medulla,Medulla,Medulla_EPI,#339470,#339470,#339470
Adrenal,Medulla,Medulla,Medulla_early,#339470,#339470,#0ad6d6
Adrenal,Myeloid,Macrophages,Macrophages,#ed83bf,#ed83bf,#ed83bf
Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,#4472c4,#4472c4,#4472c4
Adrenal,Smooth_muscle,Smooth_muscle,Smooth_muscle,#202074,#202074,#202074
Adrenal,Sox10+,Sox10+,Sox10+,#753b74,#753b74,#753b74
Adrenal,Stromal,Stromal,Stromal,#c13673,#e2969b,#e2969b
Gastrocnemius,Adipocytes,Adipocytes,Adipocytes,#FFA60F,#FFA60F,#FFA60F
Gastrocnemius,Endothelial,Endothelial,Endothelial,#799c57,#799c57,#799c57
Gastrocnemius,Myeloid,Macrophages,Macrophages,#ed83bf,#ed83bf,#ed83bf
Gastrocnemius,Myonuclei,Type1,Type1,#4472c4,#E41A1C,#E41A1C
Gastrocnemius,Myonuclei,Type2A,Type2A,#4472c4,#a725a5,#a725a5
Gastrocnemius,Myonuclei,Type2B,Type2B,#4472c4,#4472c4,#4472c4
Gastrocnemius,Myonuclei,Type2B,Type2B_Ar,#4472c4,#4472c4,#45c496
Gastrocnemius,Myonuclei,Type2B,Type2B_late,#4472c4,#4472c4,#c49644
Gastrocnemius,Myonuclei,Type2B,Type2B_Myh4,#4472c4,#4472c4,#2e26dc
Gastrocnemius,Myonuclei,Type2X,Type2X,#4472c4,#c199f8,#c199f8
Gastrocnemius,Myonuclei,Perinatal,Perinatal,#4472c4,#909090,#909090
Gastrocnemius,Myonuclei,NMJ,NMJ,#4472c4,#02ffff,#02ffff
Gastrocnemius,Myonuclei,MTJ,MTJ,#4472c4,#FFF52F,#FFF52F
Gastrocnemius,Myonuclei,Satellite,Satellite,#4472c4,#68d700,#68d700
Gastrocnemius,Schwann_cells,Schwann_cells,Schwann_cells,#284e13,#284e13,#284e13
Gastrocnemius,Smooth_muscle,Smooth_muscle,Smooth_muscle,#202074,#202074,#202074
Gastrocnemius,Stromal,FAP,FAP,#c13673,#c13673,#c13673
Gastrocnemius,Tenocytes,Tenocytes,Tenocytes,#c8c079,#c8c079,#c8c079
Heart,Adipocytes,Adipocytes,Adipocytes,#FFA60F,#FFA60F,#FFA60F
Heart,Cardiac_fibroblast,CF,CF_late,#f0e92b,#f0e92b,#fda717
Heart,Cardiac_fibroblast,CF,CF,#f0e92b,#f0e92b,#f0e92b
Heart,Cardiomyocyte,CM_atrial,CM_atrial,#cf8494,#c63924,#c63924
Heart,Cardiomyocyte,CM,CM_early,#cf8494,#cf8494,#E1C62F
Heart,Cardiomyocyte,CM,CM_int,#cf8494,#cf8494,#cf8494
Heart,Cardiomyocyte,CM,CM_late,#cf8494,#cf8494,#FF7F00
Heart,Cardiomyocyte,CM,CM_ribo,#cf8494,#cf8494,#596A98
Heart,Cycling,Cycling,CF_cycling,#73c6f0,#73c6f0,#3faf86
Heart,Cycling,Cycling,CM_cycling,#73c6f0,#73c6f0,#449B75
Heart,Cycling,Cycling,CE_cycling,#73c6f0,#73c6f0,#73c6f0
Heart,Cycling,Cycling,Pericytes_cycling,#73c6f0,#73c6f0,#56A255
Heart,Endothelial,CE,CM_CE,#799c57,#799c57,#AC5782
Heart,Endothelial,CE,CE_late,#799c57,#799c57,#B292A3
Heart,Endothelial,CE,CE,#799c57,#799c57,#799c57
Heart,Endothelial,Lymphatic_ECs,Lymphatic_ECs,#799c57,#F9F332,#F9F332
Heart,Lymphoid,T_cells,T_cells,#962996,#962996,#962996
Heart,Lymphoid,B_cells,B_cells,#962996,#B53445,#B53445
