technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
10x	Gastrocnemius	Female	PND_14	ENCSR478PUL	ENCLB320ZLU	ENCFF508CLR
10x	Gastrocnemius	Female	PND_14	ENCSR021MHR	ENCLB673NZA	ENCFF033JTC
10x	Gastrocnemius	Male	PND_14	ENCSR438FRT	ENCLB854VKF	ENCFF497CLL
10x	Gastrocnemius	Male	PND_14	ENCSR835ZXV	ENCLB995TFV	ENCFF382SUT
10x	Gastrocnemius	Female	PNM_02	ENCSR188GDL	ENCLB526RVS	ENCFF532EFQ
10x	Gastrocnemius	Female	PNM_02	ENCSR163GJZ	ENCLB786EOH	ENCFF571XTK
10x	Gastrocnemius	Male	PNM_02	ENCSR125XUV	ENCLB794PMK	ENCFF619BXW
10x	Gastrocnemius	Male	PNM_02	ENCSR771MOE	ENCLB275WWO	ENCFF489ZUW
Parse	Gastrocnemius	Female	PND_04	ENCSR627PLH	ENCLB996PVL	ENCFF413LWW
Parse	Gastrocnemius	Female	PND_04	ENCSR627PLH	ENCLB191CDA	ENCFF706OKB
Parse	Gastrocnemius	Male	PND_04	ENCSR930FUM	ENCLB940XLD	ENCFF788YTS
Parse	Gastrocnemius	Male	PND_04	ENCSR930FUM	ENCLB196TSM	ENCFF620FIQ
Parse	Gastrocnemius	Female	PND_10	ENCSR554FGW	ENCLB533FKA	ENCFF777XGM
Parse	Gastrocnemius	Female	PND_10	ENCSR554FGW	ENCLB261KJK	ENCFF971QJE
Parse	Gastrocnemius	Male	PND_10	ENCSR667UMR	ENCLB595FHR	ENCFF958QWJ
Parse	Gastrocnemius	Male	PND_10	ENCSR667UMR	ENCLB494CGF	ENCFF283ISI
Parse	Gastrocnemius	Female	PND_14	ENCSR355CTS	ENCLB734ODO	ENCFF015JQD
Parse	Gastrocnemius	Female	PND_14	ENCSR355CTS	ENCLB585ITA	ENCFF243TUG
Parse	Gastrocnemius	Male	PND_14	ENCSR581NLU	ENCLB784OSW	ENCFF374UYC
Parse	Gastrocnemius	Male	PND_14	ENCSR581NLU	ENCLB615ZSX	ENCFF823PTE
Parse	Gastrocnemius	Female	PND_25	ENCSR627XNK	ENCLB949VER	ENCFF550CCY
Parse	Gastrocnemius	Female	PND_25	ENCSR627XNK	ENCLB638WEJ	ENCFF178GSZ
Parse	Gastrocnemius	Male	PND_25	ENCSR823CLM	ENCLB126VML	ENCFF883PAZ
Parse	Gastrocnemius	Male	PND_25	ENCSR823CLM	ENCLB043WMO	ENCFF534RLH
Parse	Gastrocnemius	Female	PND_36	ENCSR488XVC	ENCLB363YDA	ENCFF708DBJ
Parse	Gastrocnemius	Female	PND_36	ENCSR488XVC	ENCLB343PID	ENCFF262GLU
Parse	Gastrocnemius	Male	PND_36	ENCSR459ESG	ENCLB549NJM	ENCFF302HFR
