technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
10x	Heart	Female	PND_14	ENCSR333SLJ	ENCLB866MAL	ENCFF165THM
10x	Heart	Female	PND_14	ENCSR415HEP	ENCLB808STP	ENCFF972ILZ
10x	Heart	Male	PND_14	ENCSR568GGW	ENCLB807HIR	ENCFF475GUS
10x	Heart	Male	PND_14	ENCSR533IGQ	ENCLB608YNH	ENCFF384DMT
10x	Heart	Female	PNM_02	ENCSR665HPR	ENCLB560GBC	ENCFF853YBZ
10x	Heart	Female	PNM_02	ENCSR417FCM	ENCLB871PHY	ENCFF187TWY
10x	Heart	Male	PNM_02	ENCSR462HCD	ENCLB713ETA	ENCFF700OPG
10x	Heart	Male	PNM_02	ENCSR644VVE	ENCLB847VJF	ENCFF143FKO
Parse	Heart	Female	PND_04	ENCSR729BRE	ENCLB472MAW	ENCFF099LAA
Parse	Heart	Female	PND_04	ENCSR729BRE	ENCLB134MUP	ENCFF465YHJ
Parse	Heart	Male	PND_04	ENCSR266RTS	ENCLB814AGQ	ENCFF870KPI
Parse	Heart	Male	PND_04	ENCSR266RTS	ENCLB788WXA	ENCFF785ZXO
Parse	Heart	Female	PND_10	ENCSR442NQZ	ENCLB401CXM	ENCFF729IHL
Parse	Heart	Female	PND_10	ENCSR442NQZ	ENCLB041UXR	ENCFF779HDS
Parse	Heart	Male	PND_10	ENCSR440PMT	ENCLB688JDM	ENCFF433YGY
Parse	Heart	Male	PND_10	ENCSR440PMT	ENCLB502XLE	ENCFF189FRM
Parse	Heart	Female	PND_14	ENCSR938YKJ	ENCLB588CNK	ENCFF155WQW
Parse	Heart	Female	PND_14	ENCSR938YKJ	ENCLB395VZG	ENCFF924PBE
Parse	Heart	Male	PND_14	ENCSR041KFB	ENCLB232EFI	ENCFF322KQL
Parse	Heart	Male	PND_14	ENCSR041KFB	ENCLB786LHP	ENCFF729XRQ
Parse	Heart	Female	PND_25	ENCSR906KCJ	ENCLB465HEU	ENCFF678WSJ
Parse	Heart	Female	PND_25	ENCSR906KCJ	ENCLB279XOJ	ENCFF181DVF
Parse	Heart	Male	PND_25	ENCSR764CYB	ENCLB236QCO	ENCFF839SHM
Parse	Heart	Male	PND_25	ENCSR764CYB	ENCLB899LPA	ENCFF532HWJ
Parse	Heart	Female	PND_36	ENCSR594LDC	ENCLB751QGW	ENCFF026OWF
Parse	Heart	Female	PND_36	ENCSR594LDC	ENCLB858NYU	ENCFF937BVG
Parse	Heart	Male	PND_36	ENCSR860LQG	ENCLB327QWK	ENCFF627ZZD
Parse	Heart	Male	PND_36	ENCSR860LQG	ENCLB525NMC	ENCFF163XGY
Parse	Heart	Female	PNM_02	ENCSR303EIR	ENCLB558EQK	ENCFF477JSG
Parse	Heart	Female	PNM_02	ENCSR303EIR	ENCLB994FPH	ENCFF831CYO
Parse	Heart	Male	PNM_02	ENCSR617CNE	ENCLB301CVY	ENCFF764SJN
Parse	Heart	Male	PNM_02	ENCSR617CNE	ENCLB874PEL	ENCFF750IHS
Parse	Heart	Female	PNM_18-20	ENCSR305SPL	ENCLB481DBZ	ENCFF605APC
