technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
10x	Hippocampus	Female	PND_14	ENCSR944XPC	ENCLB012QYK	ENCFF048RAV
10x	Hippocampus	Female	PND_14	ENCSR995ZKH	ENCLB835IXS	ENCFF551IKY
10x	Hippocampus	Male	PND_14	ENCSR539XHZ	ENCLB320HXY	ENCFF797DBY
10x	Hippocampus	Male	PND_14	ENCSR987SOK	ENCLB104XFX	ENCFF042HDP
10x	Hippocampus	Female	PNM_02	ENCSR835JFN	ENCLB089YWN	ENCFF837DVA
10x	Hippocampus	Female	PNM_02	ENCSR968RPR	ENCLB850RYI	ENCFF961FHF
10x	Hippocampus	Male	PNM_02	ENCSR742NWO	ENCLB225KMP	ENCFF971OPH
10x	Hippocampus	Male	PNM_02	ENCSR075HVN	ENCLB349KYC	ENCFF979WXE
Parse	Hippocampus	Female	PND_10	ENCSR079GGS	ENCLB924QPU	ENCFF750CZP
Parse	Hippocampus	Female	PND_10	ENCSR079GGS	ENCLB706KFB	ENCFF376OAO
Parse	Hippocampus	Male	PND_10	ENCSR846QIZ	ENCLB117ETC	ENCFF873DEX
Parse	Hippocampus	Male	PND_10	ENCSR846QIZ	ENCLB818NOG	ENCFF375ODB
Parse	Hippocampus	Female	PND_14	ENCSR483SSM	ENCLB033TBC	ENCFF227GTS
Parse	Hippocampus	Female	PND_14	ENCSR483SSM	ENCLB497GHS	ENCFF110AIM
Parse	Hippocampus	Male	PND_14	ENCSR642QUS	ENCLB176WTS	ENCFF487ZNT
Parse	Hippocampus	Male	PND_14	ENCSR642QUS	ENCLB959OHU	ENCFF917POV
Parse	Hippocampus	Female	PND_25	ENCSR569LJC	ENCLB196OFT	ENCFF669IUD
Parse	Hippocampus	Female	PND_25	ENCSR569LJC	ENCLB357LOI	ENCFF906FLW
Parse	Hippocampus	Male	PND_25	ENCSR399EUZ	ENCLB057SXW	ENCFF940QIZ
Parse	Hippocampus	Male	PND_25	ENCSR399EUZ	ENCLB696YVD	ENCFF674YGW
Parse	Hippocampus	Female	PND_36	ENCSR967YET	ENCLB802EGO	ENCFF838YID
Parse	Hippocampus	Female	PND_36	ENCSR967YET	ENCLB487OLR	ENCFF159WNW
Parse	Hippocampus	Male	PND_36	ENCSR940VCU	ENCLB406MQP	ENCFF059IVO
Parse	Hippocampus	Male	PND_36	ENCSR940VCU	ENCLB464YXA	ENCFF938IAK
Parse	Hippocampus	Female	PNM_02	ENCSR203XJO	ENCLB972LZE	ENCFF642ZRA
Parse	Hippocampus	Female	PNM_02	ENCSR203XJO	ENCLB177MAH	ENCFF241MDG
Parse	Hippocampus	Male	PNM_02	ENCSR435CMT	ENCLB186WYP	ENCFF592GXV
Parse	Hippocampus	Male	PNM_02	ENCSR435CMT	ENCLB360PKX	ENCFF245HDH
Parse	Hippocampus	Male	PNM_18-20	ENCSR545URU	ENCLB819OXS	ENCFF566LCH
Parse	Hippocampus	Male	PNM_18-20	ENCSR545URU	ENCLB964GMZ	ENCFF218VHF
Parse	Hippocampus	Female	PND_10	ENCSR257VQO	ENCLB903KKG	ENCFF137YTG
Parse	Hippocampus	Female	PND_10	ENCSR257VQO	ENCLB219EWD	ENCFF260QKY
Parse	Hippocampus	Male	PND_10	ENCSR127LUZ	ENCLB998CDS	ENCFF352NLP
Parse	Hippocampus	Male	PND_10	ENCSR127LUZ	ENCLB538QVH	ENCFF722NKF
Parse	Hippocampus	Female	PND_14	ENCSR859XOI	ENCLB933ASV	ENCFF911TNW
Parse	Hippocampus	Female	PND_14	ENCSR859XOI	ENCLB367HZZ	ENCFF065YZL
Parse	Hippocampus	Male	PND_14	ENCSR736JKX	ENCLB747VGK	ENCFF774JHO
Parse	Hippocampus	Male	PND_14	ENCSR736JKX	ENCLB032ZXT	ENCFF354WNP
Parse	Hippocampus	Female	PND_25	ENCSR499ZYZ	ENCLB340IWZ	ENCFF610SWC
Parse	Hippocampus	Female	PND_25	ENCSR499ZYZ	ENCLB561OFB	ENCFF331XHW
Parse	Hippocampus	Male	PND_25	ENCSR983TAK	ENCLB506MGR	ENCFF252WOO
Parse	Hippocampus	Male	PND_25	ENCSR983TAK	ENCLB481LCB	ENCFF553PSX
Parse	Hippocampus	Female	PND_36	ENCSR613VKV	ENCLB828XLK	ENCFF749SMR
Parse	Hippocampus	Female	PND_36	ENCSR613VKV	ENCLB243SGE	ENCFF727CJZ
Parse	Hippocampus	Male	PND_36	ENCSR767FKE	ENCLB284ZJK	ENCFF794XTM
Parse	Hippocampus	Male	PND_36	ENCSR767FKE	ENCLB716KZC	ENCFF874IVZ
Parse	Hippocampus	Female	PNM_02	ENCSR824CFI	ENCLB297DPA	ENCFF572LCS
Parse	Hippocampus	Female	PNM_02	ENCSR824CFI	ENCLB242YJU	ENCFF042LED
Parse	Hippocampus	Male	PNM_02	ENCSR329JYG	ENCLB291LEG	ENCFF804TTW
Parse	Hippocampus	Male	PNM_02	ENCSR329JYG	ENCLB779UHQ	ENCFF394DHC
Parse	Hippocampus	Male	PNM_18-20	ENCSR079CKL	ENCLB081SUD	ENCFF304TFJ
Parse	Hippocampus	Male	PNM_18-20	ENCSR079CKL	ENCLB514RLH	ENCFF895QAF
Parse	Hippocampus	Female	PND_10	ENCSR888TQC	ENCLB093ZEB	ENCFF811MAT
Parse	Hippocampus	Female	PND_10	ENCSR888TQC	ENCLB767RCV	ENCFF926IHS
Parse	Hippocampus	Male	PND_10	ENCSR979MRY	ENCLB463YUO	ENCFF720GZG
Parse	Hippocampus	Male	PND_10	ENCSR979MRY	ENCLB259RAA	ENCFF586TOF
Parse	Hippocampus	Female	PND_14	ENCSR973WCI	ENCLB970EMO	ENCFF287RXU
Parse	Hippocampus	Female	PND_14	ENCSR973WCI	ENCLB144UXB	ENCFF447PMI
Parse	Hippocampus	Male	PND_14	ENCSR247QPJ	ENCLB245USU	ENCFF430KEC
Parse	Hippocampus	Male	PND_14	ENCSR247QPJ	ENCLB208PDA	ENCFF794PMO
Parse	Hippocampus	Female	PND_25	ENCSR730JFZ	ENCLB263MUS	ENCFF656AKQ
Parse	Hippocampus	Female	PND_25	ENCSR730JFZ	ENCLB678IDN	ENCFF900MWO
Parse	Hippocampus	Male	PND_25	ENCSR167HUO	ENCLB078HYI	ENCFF263EVP
Parse	Hippocampus	Male	PND_25	ENCSR167HUO	ENCLB958FDX	ENCFF319YGL
Parse	Hippocampus	Female	PND_36	ENCSR869HKZ	ENCLB971YWN	ENCFF895CPU
Parse	Hippocampus	Female	PND_36	ENCSR869HKZ	ENCLB541LEL	ENCFF930JMF
Parse	Hippocampus	Male	PND_36	ENCSR926QCE	ENCLB233DSJ	ENCFF990QGO
