gene_name	Evidence	Type	GO_term_ID	GO_term
Atf2	ISO	HAT	0004402	histone acetyltransferase activity
Brca2	ISO	HAT	0004402	histone acetyltransferase activity
Cdyl	IEA	HAT	0004402	histone acetyltransferase activity
Clock	IMP	HAT	0004402	histone acetyltransferase activity
Clock	ISO	HAT	0004402	histone acetyltransferase activity
Crebbp	IBA	HAT	0004402	histone acetyltransferase activity
Crebbp	IDA	HAT	0004402	histone acetyltransferase activity
Crebbp	ISO	HAT	0004402	histone acetyltransferase activity
Ep300	IBA	HAT	0004402	histone acetyltransferase activity
Ep300	IDA	HAT	0004402	histone acetyltransferase activity
Ep300	ISO	HAT	0004402	histone acetyltransferase activity
Ep300	ISS	HAT	0004402	histone acetyltransferase activity
Gtf2b	IEA	HAT	0004402	histone acetyltransferase activity
Gtf3c4	IEA	HAT	0004402	histone acetyltransferase activity
Hat1	IEA	HAT	0004402	histone acetyltransferase activity
Hat1	IBA	HAT	0004402	histone acetyltransferase activity
Hat1	ISO	HAT	0004402	histone acetyltransferase activity
Kat2a	IDA	HAT	0004402	histone acetyltransferase activity
Kat2a	ISO	HAT	0004402	histone acetyltransferase activity
Kat2a	IBA	HAT	0004402	histone acetyltransferase activity
Kat2b	IDA	HAT	0004402	histone acetyltransferase activity
Kat2b	ISO	HAT	0004402	histone acetyltransferase activity
Kat2b	IBA	HAT	0004402	histone acetyltransferase activity
Kat5	IBA	HAT	0004402	histone acetyltransferase activity
Kat5	IMP	HAT	0004402	histone acetyltransferase activity
Kat5	ISO	HAT	0004402	histone acetyltransferase activity
Kat6a	IBA	HAT	0004402	histone acetyltransferase activity
Kat6a	ISO	HAT	0004402	histone acetyltransferase activity
Kat6a	IMP	HAT	0004402	histone acetyltransferase activity
Kat6b	IBA	HAT	0004402	histone acetyltransferase activity
Kat6b	IDA	HAT	0004402	histone acetyltransferase activity
Kat6b	ISO	HAT	0004402	histone acetyltransferase activity
Kat7	IBA	HAT	0004402	histone acetyltransferase activity
Kat7	IDA	HAT	0004402	histone acetyltransferase activity
Kat7	IMP	HAT	0004402	histone acetyltransferase activity
Kat7	ISO	HAT	0004402	histone acetyltransferase activity
Kat8	IEA	HAT	0004402	histone acetyltransferase activity
Kat8	ISO	HAT	0004402	histone acetyltransferase activity
Kat8	IBA	HAT	0004402	histone acetyltransferase activity
Kat8	IMP	HAT	0004402	histone acetyltransferase activity
