"","spearman_correlation","assay","id","host_gene_id","host_gene_name","mirna_id","mirna_name","host_gene_stable_id"
"1",-0.38583211221286,"polyA plus RNA-seq","Sfmbt2 (Mir467e)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076948.2","Mir467e","ENSMUSG00000061186"
"2",-0.362710900618349,"polyA plus RNA-seq","Gm20732 (Mir30d)","ENSMUSG00000093387.1","Gm20732","ENSMUSG00000065437.1","Mir30d","ENSMUSG00000093387"
"3",-0.35288673303316,"polyA plus RNA-seq","Arhgef17 (Mir3102)","ENSMUSG00000032875.8","Arhgef17","ENSMUSG00000093296.1","Mir3102","ENSMUSG00000032875"
"4",-0.335707212280792,"polyA plus RNA-seq","Fcgr3 (Mir6546)","ENSMUSG00000059498.13","Fcgr3","ENSMUSG00000099119.1","Mir6546","ENSMUSG00000059498"
"5",-0.310045393159993,"polyA plus RNA-seq","Srebf1 (Mir6922)","ENSMUSG00000020538.15","Srebf1","ENSMUSG00000099259.1","Mir6922","ENSMUSG00000020538"
"6",-0.304830407774185,"polyA plus RNA-seq","Hspg2 (Mir7018)","ENSMUSG00000028763.17","Hspg2","ENSMUSG00000099134.1","Mir7018","ENSMUSG00000028763"
"7",-0.284610957104051,"polyA plus RNA-seq","Esrra (Mir6990)","ENSMUSG00000024955.14","Esrra","ENSMUSG00000098413.1","Mir6990","ENSMUSG00000024955"
"8",-0.265627238547829,"polyA plus RNA-seq","Sfmbt2 (Mir466n)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077991.1","Mir466n","ENSMUSG00000061186"
"9",-0.26548535171866,"polyA plus RNA-seq","Sfmbt2 (Mir297a-2)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076983.2","Mir297a-2","ENSMUSG00000061186"
"10",-0.264075622214882,"polyA plus RNA-seq","Pank1 (Mir107)","ENSMUSG00000033610.16","Pank1","ENSMUSG00000065594.1","Mir107","ENSMUSG00000033610"
"11",-0.259336051053908,"polyA plus RNA-seq","Eml2 (Mir330)","ENSMUSG00000040811.15","Eml2","ENSMUSG00000065543.1","Mir330","ENSMUSG00000040811"
"12",-0.258947970018686,"polyA plus RNA-seq","Loxl3 (Mir7040)","ENSMUSG00000000693.10","Loxl3","ENSMUSG00000099035.1","Mir7040","ENSMUSG00000000693"
"13",-0.257372842049401,"polyA plus RNA-seq","Pink1 (Mir7019)","ENSMUSG00000028756.12","Pink1","ENSMUSG00000099200.1","Mir7019","ENSMUSG00000028756"
"14",-0.245430726726966,"polyA plus RNA-seq","Sfmbt2 (Mir669o)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077086.1","Mir669o","ENSMUSG00000061186"
"15",-0.243681717995239,"polyA plus RNA-seq","Sfmbt2 (Mir466b-3)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076994.2","Mir466b-3","ENSMUSG00000061186"
"16",-0.241774880897788,"polyA plus RNA-seq","Sfmbt2 (Mir467d)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077021.2","Mir467d","ENSMUSG00000061186"
"17",-0.237663564002299,"polyA plus RNA-seq","Mllt6 (Mir6927)","ENSMUSG00000038437.11","Mllt6","ENSMUSG00000098881.1","Mir6927","ENSMUSG00000038437"
"18",-0.23704733790151,"polyA plus RNA-seq","Sfmbt2 (Mir669l)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000076959.1","Mir669l","ENSMUSG00000061186"
"19",-0.230236823290769,"polyA plus RNA-seq","Sfmbt2 (Gm25263)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000077104.1","Gm25263","ENSMUSG00000061186"
"20",-0.229888822872633,"polyA plus RNA-seq","Myh6 (Mir208a)","ENSMUSG00000040752.16","Myh6","ENSMUSG00000065432.1","Mir208a","ENSMUSG00000040752"
"21",-0.226379251676671,"polyA plus RNA-seq","Pde4dip (Mir7225)","ENSMUSG00000038170.15","Pde4dip","ENSMUSG00000098381.1","Mir7225","ENSMUSG00000038170"
"22",-0.224018355503928,"polyA plus RNA-seq","Mir133a-1hg (Mir133a-1)","ENSMUSG00000095438.1","Mir133a-1hg","ENSMUSG00000065399.2","Mir133a-1","ENSMUSG00000095438"
"23",-0.219713013581822,"polyA plus RNA-seq","Sfmbt2 (Mir669h)","ENSMUSG00000061186.15","Sfmbt2","ENSMUSG00000080594.1","Mir669h","ENSMUSG00000061186"
