p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	25.2645856352782	0.64	0.158	0	0	Msmo1
0	23.7578829449881	0.759	0.091	0	0	AC118724.1
0	23.7576228779248	0.874	0.361	0	0	Tgfbr3
0	20.7323848827481	0.813	0.184	0	0	Zbtb7c
0	19.7574790125892	0.829	0.321	0	0	Gramd1b
0	19.6877513088665	0.653	0.119	0	0	Fdps
0	19.1971944194913	0.768	0.166	0	0	Slc25a30
0	19.1574400976344	0.858	0.254	0	0	Lrrk2
0	14.9113618144389	0.697	0.1	0	0	Car8
0	14.5688673284382	0.896	0.324	0	0	Slc6a6
0	14.5640107341805	0.633	0.353	0	0	Filip1
0	14.1994999367989	0.907	0.3	0	0	Neat1
0	13.5184129454352	0.734	0.105	0	0	Dhcr24
0	12.2406590043597	0.785	0.054	0	0	Pik3c2g
0	12.1594100188501	0.693	0.175	0	0	Gm20400
0	9.79241025075135	0.662	0.152	0	0	Hmgcr
0	9.71081478766806	0.854	0.112	0	0	Akr1c18
0	9.06506221659893	0.681	0.205	0	0	Gm12216
0	8.73230416914158	0.625	0.216	0	0	Palm2
0	8.68159750179883	0.565	0.034	0	0	Gm12153
0	8.35693298029303	0.48	0.064	0	0	Nrg2
0	7.57578045859023	0.776	0.176	0	0	Prr16
0	7.57473760851848	0.539	0.076	0	0	Ankrd55
0	7.50646102944241	0.676	0.059	0	0	Gpc5
0	7.46834326954464	0.931	0.216	0	0	Gpam
0	7.41520771242097	0.859	0.299	0	0	Pakap
0	6.9775413039369	0.606	0.111	0	0	Gpt2
0	6.60930682434826	0.53	0.064	0	0	Padi2
0	6.18493464042857	0.566	0.062	0	0	Efemp1
0	6.08016970470394	0.764	0.294	0	0	Ar
0	6.05609686268333	0.601	0.303	0	0	Gm36723
0	5.93674002716894	0.567	0.081	0	0	Muc19
0	5.92664999401236	0.876	0.146	0	0	Runx2
0	5.71567550644339	0.944	0.368	0	0	Zmiz1
0	5.5382284670361	0.66	0.173	0	0	Nrep
0	5.4886463165246	0.689	0.28	0	0	Tns3
0	5.43313536501452	0.701	0.298	0	0	Myo7a
0	5.2606482307979	0.611	0.176	0	0	Ldlr
0	5.03757004710899	0.733	0.326	0	0	Fdx1
