p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	43.3877324616231	0.147	0.128	0	Excitatory	Slc26a4
0	41.1980723418699	0.176	0.027	0	Excitatory	Gm20752
0	40.872254661976	0.225	0.19	0	Excitatory	Galnt14
0	39.2783761724815	0.429	0.149	0	Excitatory	Homer1
0	38.8706269324837	0.122	0.091	0	Excitatory	Gm6602
0	38.5881375150076	0.165	0.035	0	Excitatory	Bdnf
0	36.7126586698523	0.472	0.074	0	Excitatory	Mlip
0	35.8042926296402	0.111	0.082	0	Excitatory	Gm26883
0	35.4411118397078	0.174	0.015	0	Excitatory	Igfn1
0	35.0101363134633	0.491	0.301	0	Excitatory	Pde4d
0	33.3715028491156	0.479	0.071	0	Excitatory	Cdh12
0	33.1021450509571	0.462	0.14	0	Excitatory	Hs6st3
0	33.0680496732644	0.567	0.099	0	Excitatory	Nrg1
0	32.752901858962	0.132	0.02	0	Excitatory	AC171111.1
0	32.4808205809526	0.162	0.142	0	Excitatory	Gm34544
0	32.3368824528076	0.198	0.11	0	Excitatory	Chst8
0	31.4499450017353	0.253	0.114	0	Excitatory	Pcp4
0	31.2372306177834	0.19	0.062	0	Excitatory	Nr4a3
0	30.9837924342418	0.244	0.25	0	Excitatory	Tle4
0	30.7634919117405	0.629	0.049	0	Excitatory	Ptprd
0	30.3928099693774	0.21	0.101	0	Excitatory	Htr2a
0	29.2066060733938	0.402	0.074	0	Excitatory	Fam19a1
0	29.0933523675454	0.485	0.302	0	Excitatory	Rbfox1
0	27.9591180707547	0.156	0.089	0	Excitatory	4933411E02Rik
0	26.8472744882948	0.383	0.199	0	Excitatory	Ptprk
0	26.4147015600211	0.102	0.082	0	Excitatory	Gm42397
0	26.3500327276966	0.144	0.124	0	Excitatory	Ntf3
0	26.0062049860358	0.203	0.097	0	Excitatory	A330008L17Rik
0	25.8719866592053	0.45	0.377	0	Excitatory	Camk1d
0	25.6343476199128	0.119	0.044	0	Excitatory	Dnase1l3
0	25.5193410850496	0.547	0.146	0	Excitatory	Kcnh7
0	25.4413347521975	0.214	0.139	0	Excitatory	P3h2
0	25.2425478543851	0.147	0.052	0	Excitatory	Inhba
0	24.8511492169382	0.149	0.032	0	Excitatory	Gm765
0	24.5864335611793	0.29	0.5	0	Excitatory	Mir99ahg
0	24.3633754961909	0.2	0.324	0	Excitatory	Mtss1
0	24.1006834577605	0.275	0.121	0	Excitatory	Gm49685
0	24.017426505133	0.452	0.305	0	Excitatory	Oxr1
0	23.1170980394476	0.161	0.095	0	Excitatory	Angpt1
0	22.8443749384796	0.114	0.235	0	Excitatory	Postn
0	22.4550589265058	0.444	0.193	0	Excitatory	Chsy3
0	22.2585043833017	0.263	0.507	0	Excitatory	mt-Nd2
0	21.9943994743573	0.236	0.386	0	Excitatory	Trps1
0	21.8559472740291	0.108	0.125	0	Excitatory	Tmc1
0	21.7190579091621	0.135	0.141	0	Excitatory	Glra2
0	21.6988375857681	0.171	0.092	0	Excitatory	C77080
0	21.5384757362714	0.121	0.045	0	Excitatory	Abi3bp
0	21.5184020202386	0.148	0.035	0	Excitatory	4930467D21Rik
0	21.1488036561025	0.1	0.119	0	Excitatory	St8sia2
0	20.8935421033441	0.219	0.126	0	Excitatory	Klhl1
0	20.8109530908119	0.135	0.114	0	Excitatory	Clba1
0	20.4314136114806	0.455	0.161	0	Excitatory	Khdrbs2
0	20.31309833956	0.514	0.284	0	Excitatory	Nlgn1
0	19.5355891655938	0.112	0.194	0	Excitatory	Lmcd1
0	19.5332343152036	0.113	0.033	0	Excitatory	Gm45587
0	19.5182248706288	0.2	0.172	0	Excitatory	Hspa8
0	18.9496024237044	0.085	0.117	0	Excitatory	Trpc7
0	18.3506606863531	0.112	0.108	0	Excitatory	Col24a1
0	18.159183909563	0.502	0.247	0	Excitatory	Rgs7
