p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	32.607507444471	0.847	0.2	0	0	Gsg1l
0	23.0144064396843	0.687	0.316	0	0	Mlip
0	18.5110048821573	0.509	0.083	0	0	Gm765
0	10.2861463713618	0.817	0.39	0	0	Rgs7
0	6.14082407236193	0.712	0.268	0	0	Mapk4
0	5.76417183887082	0.699	0.348	0	0	Smarca2
0	5.76355083596081	0.921	0.331	0	0	Rgs6
0	4.73457432674528	0.785	0.272	0	0	Rasgrf2
0	4.67812405505396	0.576	0.277	0	0	Iqschfp
0	2.69022384419864	0.723	0.362	0	0	R3hdm1
0	2.18361378287283	0.817	0.314	0	0	Fstl4
0	2.01842103136493	0.808	0.296	0	0	Cacng3
0	1.23061931225263	0.65	0.331	0	0	Kcnh1
0	0.738641358232937	0.838	0.361	0	0	Ntrk3
0	0.69270234974555	0.6	0.358	0	0	Brinp1
0	0.613749589911984	0.662	0.319	0	0	Plcb4
2.32755091091963e-217	2.03427192650972	0.418	0.281	6.98265273275888e-214	0	Elmo1
2.08456893169587e-156	6.64706124007278	0.259	0.074	6.25370679508761e-153	0	Baz1a
6.90983534885754e-149	7.7137266101462	0.289	0.264	2.07295060465726e-145	0	Hs6st2
2.34404794924198e-89	1.86677444305292	0.315	0.312	7.03214384772593e-86	0	Adcy8
9.39161008861252e-86	3.0397567081354	0.274	0.338	2.81748302658376e-82	0	Caln1
5.19097739777203e-63	0.939240175154373	0.461	0.425	1.55729321933161e-59	0	Grm7
6.70837771475593e-62	1.94759906690139	0.434	0.211	2.01251331442678e-58	0	Kitl
1.67252500688956e-40	7.26180675979633	0.413	0.357	5.01757502066869e-37	0	Gpr158
1.07023848022298e-39	0.748171965461729	0.399	0.095	3.21071544066895e-36	0	Tmc1
8.44590019975343e-38	9.38886061394964	0.266	0.105	2.53377005992603e-34	0	Inhba
9.38254659157405e-38	0.544407090263402	0.32	0.137	2.81476397747222e-34	0	Ccdc3
9.17739338686566e-25	5.23943522735381	0.311	0.108	2.7532180160597e-21	0	Smoc2
7.27272806655658e-24	6.57169619162574	0.315	0.073	2.18181841996698e-20	0	Gm12153
5.95859319435226e-05	30.3473520770405	0.371	0.177	0.178757795830568	0	P3h2
0	8.02318746555207	0.578	0.267	0	1	Cdh6
0	3.01412850289029	0.772	0.305	0	1	Cacng3
0	2.36990113866099	0.569	0.114	0	1	Npnt
0	0.612206107758842	0.757	0.393	0	1	Gria3
1.01173400787186e-288	5.28353100886351	0.54	0.13	3.03520202361559e-285	1	Met
3.02458725762947e-158	2.53956452479282	0.496	0.337	9.07376177288842e-155	1	Fstl4
7.00931212830985e-140	9.98062070307529	0.504	0.341	2.10279363849295e-136	1	Epha5
2.2906042649708e-137	0.307661740928751	0.497	0.364	6.87181279491241e-134	1	Macrod2
9.82014098095985e-21	12.1128313369264	0.344	0.129	2.94604229428796e-17	1	Glis3
2.77490078283312e-09	2.30952363671114	0.262	0.25	8.32470234849935e-06	1	Pcdha6
1.42373986889355e-06	1.7025543248288	0.311	0.282	0.00427121960668065	1	Pcdha8
5.49408540991266e-05	1.83127550212819	0.387	0.291	0.16482256229738	1	Iqschfp
0.00247618116877867	5.55665678179993	0.367	0.09	1	1	Ngf
0	12.3937685021911	0.505	0.125	0	2	Slc26a4
0	10.124113779919	0.643	0.172	0	2	Pou6f2
0	8.55409050756456	0.564	0.107	0	2	Dnah14
0	7.64697397932244	0.608	0.324	0	2	Unc5c
0	3.2893619166427	0.808	0.414	0	2	Pcsk2
0	2.90951468305247	0.766	0.348	0	2	Npas2
0	2.79027487503952	0.733	0.342	0	2	Celf4
0	2.65958638271362	0.709	0.32	0	2	Ak5
0	2.63112957481093	0.796	0.219	0	2	Hs3st2
0	1.88879036589386	0.766	0.249	0	2	Igsf21
0	1.64801357440602	0.709	0.389	0	2	Erc2
1.84268630114113e-243	9.55972163389971	0.462	0.159	5.52805890342339e-240	2	Ptpru
7.2476645140529e-238	1.04701019092472	0.47	0.118	2.17429935421587e-234	2	Sulf1
1.80544557224329e-140	7.36600914804947	0.535	0.321	5.41633671672986e-137	2	Me3
2.90317039725346e-109	7.59485913801849	0.333	0.159	8.70951119176037e-106	2	Phf21b
2.49330631226039e-99	7.08522116837996	0.459	0.306	7.47991893678116e-96	2	Dcc
1.14581443007559e-96	4.85276243266155	0.508	0.376	3.43744329022677e-93	2	Ncam2
1.92819499326055e-89	1.73512870668232	0.54	0.404	5.78458497978165e-86	2	Gria3
2.66445877080459e-80	6.25032863390033	0.393	0.29	7.99337631241378e-77	2	Zmiz1
1.85393399423845e-69	0.341251414640492	0.461	0.25	5.56180198271536e-66	2	Atp2b4
4.41154517322194e-69	7.9428504283835	0.54	0.434	1.32346355196658e-65	2	Dpp10
1.19690704026022e-38	4.14738637647332	0.271	0.131	3.59072112078067e-35	2	BC006965
1.02185577052262e-34	2.84031024687517	0.453	0.329	3.06556731156785e-31	2	Caln1
1.77713459765859e-24	14.8328028793108	0.367	0.231	5.33140379297578e-21	2	Smad3
1.23931288435213e-19	2.89323542789093	0.346	0.293	3.7179386530564e-16	2	Maml3
6.20414637992682e-19	1.0074867697323	0.326	0.171	1.86124391397805e-15	2	Matn2
4.94374992769263e-09	2.58259508012924	0.4	0.429	1.48312497830779e-05	2	Grm7
2.80769719802688e-08	0.385984914916781	0.395	0.37	8.42309159408065e-05	2	Macrod2
6.80243081713357e-06	1.75899965156547	0.298	0.094	0.0204072924514007	2	1700023F02Rik
0.000139164950056291	6.85902185792006	0.287	0.114	0.417494850168874	2	Bdnf
