p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	51.1427222423194	0.111	0.031	0	Neuron	Trpc7
0	50.532606026896	0.25	0.066	0	Neuron	Cdh9
0	49.1864923013071	0.25	0.057	0	Neuron	Galnt14
0	48.859057495767	0.113	0.267	0	Neuron	Rxfp2
0	48.0124159100239	0.426	0.055	0	Neuron	Hs6st3
0	47.8541574910639	0.125	0.209	0	Neuron	Slc26a4
0	47.7423036187702	0.488	0.074	0	Neuron	Ralyl
0	47.6328684019212	0.445	0.06	0	Neuron	Frmpd4
0	46.4284573175763	0.212	0.012	0	Neuron	Pcsk1
0	46.2684308164994	0.382	0.034	0	Neuron	Cntnap2
0	45.7076544777919	0.464	0.059	0	Neuron	Gm28928
0	45.6473109665692	0.433	0.225	0	Neuron	Cntn4
0	45.6346604660563	0.218	0.05	0	Neuron	Cdh7
0	45.4197066702319	0.239	0.096	0	Neuron	Shisa6
0	45.1395487669877	0.515	0.038	0	Neuron	Kcnip4
0	45.1304287244999	0.233	0.061	0	Neuron	Olfm3
0	44.7765692015511	0.233	0.05	0	Neuron	Cntnap5c
0	44.5161123425032	0.208	0.106	0	Neuron	Mir670hg
0	44.1366684219359	0.514	0.045	0	Neuron	Rbfox1
0	43.9872167496373	0.222	0.059	0	Neuron	Cnr1
0	43.8799029720133	0.481	0.062	0	Neuron	Nrxn3
0	42.9359764567926	0.233	0.04	0	Neuron	Chrm2
0	42.8673833400231	0.161	0.13	0	Neuron	Gm34544
0	42.6178988875208	0.196	0.049	0	Neuron	A330008L17Rik
0	42.478462614108	0.461	0.16	0	Neuron	Oxr1
0	41.0760107948387	0.118	0.043	0	Neuron	Hcrtr2
0	40.4566940941043	0.24	0.113	0	Neuron	Pcsk5
0	40.4146609277008	0.166	0.07	0	Neuron	Nr4a3
0	40.3116074447239	0.149	0.032	0	Neuron	Gm20752
0	40.0048696797067	0.121	0.092	0	Neuron	Prlr
0	39.769604133722	0.266	0.212	0	Neuron	Thsd7a
0	39.4830621950935	0.444	0.036	0	Neuron	Tenm2
0	39.1782445430483	0.499	0.054	0	Neuron	Kcnh7
0	38.6100339534406	0.217	0.086	0	Neuron	6530403H02Rik
0	38.5846280991516	0.117	0.172	0	Neuron	Hpse2
0	38.2033982943741	0.074	0.176	0	Neuron	Klhl14
0	38.1785403163145	0.176	0.142	0	Neuron	L3mbtl4
0	37.9269224262754	0.139	0.047	0	Neuron	Bdnf
0	37.8128512997474	0.121	0.071	0	Neuron	Gm6602
0	37.7241785338087	0.131	0.048	0	Neuron	Sv2c
0	37.5946985158387	0.194	0.052	0	Neuron	Vwc2l
0	37.522007501703	0.298	0.084	0	Neuron	Fstl5
0	37.1252431168122	0.252	0.166	0	Neuron	Thsd7b
0	37.122574687183	0.08	0.112	0	Neuron	Myo3b
0	36.5406968542343	0.411	0.038	0	Neuron	Mlip
0	36.4865622936405	0.148	0.042	0	Neuron	Mctp2
0	36.4861428790098	0.406	0.094	0	Neuron	Gabrg3
0	36.1910359003865	0.151	0.077	0	Neuron	Glra2
0	36.1675915812111	0.134	0.028	0	Neuron	Glra3
0	36.14607698623	0.391	0.048	0	Neuron	Cntn5
0	35.8742288561866	0.286	0.049	0	Neuron	Gsg1l
0	35.7323495009698	0.112	0.054	0	Neuron	Tnfaip8l3
