p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	11.6127286248268	0.654	0.207	0	L2/3 IT ENTl	Lmo3
0	11.3748026401037	0.561	0.21	0	L2/3 IT ENTl	Plcxd3
0	10.5786621458768	0.582	0.248	0	L2/3 IT ENTl	Epha3
0	6.20934179307193	0.784	0.289	0	L2/3 IT ENTl	Fam19a2
0	4.75490086376893	0.608	0.13	0	L2/3 IT ENTl	Nrp2
0	4.68631114384862	0.802	0.292	0	L2/3 IT ENTl	Epha6
0	3.50490796077279	0.614	0.313	0	L2/3 IT ENTl	Dgkb
0	2.95548321919818	0.658	0.383	0	L2/3 IT ENTl	Tenm4
0	2.802229678153	0.649	0.323	0	L2/3 IT ENTl	Ak5
0	2.39606678692327	0.868	0.386	0	L2/3 IT ENTl	Dab1
0	2.10766259507879	0.862	0.268	0	L2/3 IT ENTl	Fam19a1
0	1.8397811630526	0.577	0.077	0	L2/3 IT ENTl	Ndst4
0	1.72176213915985	0.695	0.335	0	L2/3 IT ENTl	5730522E02Rik
0	0.971570325312383	0.681	0.279	0	L2/3 IT ENTl	B230303A05Rik
2.69177135110349e-300	1.04355857422804	0.626	0.384	8.07531405331047e-297	L2/3 IT ENTl	Xkr4
1.00778080511358e-255	1.38148968592932	0.468	0.11	3.02334241534075e-252	L2/3 IT ENTl	Htr2c
2.02673823022964e-228	6.42856821856745	0.535	0.243	6.08021469068892e-225	L2/3 IT ENTl	Ndst3
7.52099352802447e-194	1.91090460704722	0.626	0.442	2.25629805840734e-190	L2/3 IT ENTl	Kcnma1
3.10837468229756e-193	9.79848622699654	0.082	0.111	9.32512404689269e-190	L2/3 IT ENTl	4930467D21Rik
4.41819831377061e-172	3.80142513258698	0.073	0.112	1.32545949413118e-168	L2/3 IT ENTl	9630002D21Rik
3.64305180992488e-166	5.61029413174415	0.559	0.361	1.09291554297746e-162	L2/3 IT ENTl	Pam
3.52900068031522e-140	4.43726972411344	0.463	0.271	1.05870020409456e-136	L2/3 IT ENTl	Mgat4c
4.88068996235684e-90	2.51635713467519	0.12	0.081	1.46420698870705e-86	L2/3 IT ENTl	Gm29684
1.14892800557408e-89	12.9427972085363	0.126	0.15	3.44678401672225e-86	L2/3 IT ENTl	Cpa6
4.2026798333436e-79	6.02308826971851	0.436	0.249	1.26080395000308e-75	L2/3 IT ENTl	Fstl5
4.53696484102448e-77	3.1468409140528	0.141	0.092	1.36108945230734e-73	L2/3 IT ENTl	Dnase1l3
2.05505972182743e-76	3.47860528326031	0.397	0.083	6.1651791654823e-73	L2/3 IT ENTl	Abi3bp
