p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	31.2638301720757	0.601	0.116	0	0	Scara5
0	25.1228197658533	0.66	0.212	0	0	Cd55
0	16.7240148741383	0.615	0.177	0	0	Rhoj
0	15.9154869725892	0.644	0.323	0	0	Celf2
0	15.5902619099215	0.64	0.261	0	0	Fndc3b
0	15.4466222371912	0.564	0.214	0	0	Rrbp1
0	15.36104151489	0.597	0.104	0	0	Mfap5
0	12.3389367166406	0.611	0.099	0	0	Ahnak2
0	11.4572284479151	0.253	0.104	0	0	4930430F21Rik
0	11.3429099526785	0.444	0.124	0	0	C430049B03Rik
0	11.1250992222156	0.74	0.134	0	0	Axl
0	10.439365080883	0.382	0.131	0	0	Ndufaf5
0	8.11834529800084	0.77	0.167	0	0	Zim1
0	7.63476474447226	0.506	0.122	0	0	Hmcn2
0	5.67192568439309	0.869	0.141	0	0	Tnxb
0	4.81474204179531	0.393	0.145	0	0	Cenpe
0	4.79725829896646	0.281	0.145	0	0	Lsamp
0	4.31672925720363	0.338	0.11	0	0	Serpine1
0	4.28196459245955	0.314	0.102	0	0	Smoc1
0	3.88898060577729	0.622	0.18	0	0	Plxdc2
0	3.36813335282987	0.673	0.236	0	0	Rbms3
0	3.34929135455734	0.444	0.134	0	0	Scube2
0	3.34140668090902	0.635	0.195	0	0	Fbn1
0	3.18954441560906	0.359	0.169	0	0	Gria1
0	2.95637511856199	0.402	0.12	0	0	Ncam2
0	2.88845085260069	0.372	0.114	0	0	Oser1
0	2.74691726133377	0.693	0.207	0	0	Sorbs3
0	2.61996425062116	0.511	0.12	0	0	Ptpn13
0	2.47189534461494	0.507	0.154	0	0	Gm43293
0	2.3868422694976	0.601	0.304	0	0	Mast4
0	2.32061232202363	0.55	0.113	0	0	Gas7
0	2.11643908829694	0.536	0.205	0	0	Pcdhga5
0	1.88198101914343	0.255	0.132	0	0	Ccbe1
0	1.85595413821386	0.505	0.179	0	0	Adgrb3
0	1.75953269219961	0.41	0.098	0	0	Alkbh6
0	1.72121459867053	0.27	0.081	0	0	Edar
0	1.6866638173194	0.436	0.157	0	0	Tenm2
0	1.63655511240271	0.726	0.277	0	0	Pcdhgb2
0	1.61238733595367	0.366	0.128	0	0	Thsd4
0	1.15826946314348	0.272	0.129	0	0	Aff2
0	0.911899569623143	0.516	0.311	0	0	Srsf11
0	0.90089678069522	0.437	0.156	0	0	Mdga2
0	0.822545087584086	0.614	0.133	0	0	Col6a2
0	0.776067350536159	0.635	0.271	0	0	Pcdhgb1
0	0.40202391989812	0.531	0.093	0	0	Slc9b2
2.62298515735594e-305	1.68893892584144	0.256	0.082	7.86895547206781e-302	0	D930020B18Rik
1.10798606873148e-302	4.44383576601765	0.314	0.101	3.32395820619445e-299	0	Gm15538
1.80281805739484e-299	5.79837048130465	0.296	0.177	5.40845417218453e-296	0	Slc17a9
1.51610918366143e-290	6.8866950330544	0.567	0.101	4.54832755098429e-287	0	Pcsk6
1.42078646697083e-282	1.30681375035189	0.476	0.132	4.2623594009125e-279	0	Plagl1
7.35948058010531e-281	7.36910895757143	0.342	0.135	2.20784417403159e-277	0	Stom
1.03090919321286e-279	2.13732843545132	0.282	0.073	3.09272757963857e-276	0	Gm27164
1.43286767724152e-277	4.10968954103687	0.532	0.144	4.29860303172457e-274	0	Adamtsl3
3.83083039758656e-276	8.92370244046073	0.352	0.118	1.14924911927597e-272	0	Spata17
2.83276292890529e-274	3.73574410643781	0.415	0.151	8.49828878671586e-271	0	Postn
2.99981712452854e-274	12.6532215703231	0.556	0.157	8.99945137358563e-271	0	Lrp1
4.91741244631663e-273	17.4299840047962	0.442	0.136	1.47522373389499e-269	0	Ephb2
7.98010901510799e-271	11.9481605925344	0.31	0.183	2.3940327045324e-267	0	Dip2a
1.89841149758273e-254	3.44272530906485	0.587	0.224	5.69523449274819e-251	0	Tgfbr3
1.2088352206633e-248	0.55030051026155	0.275	0.086	3.6265056619899e-245	0	Pi15
1.51611150273524e-245	3.06821802998309	0.466	0.168	4.54833450820571e-242	0	Grid2
5.29330158688423e-244	3.44590419108572	0.331	0.052	1.58799047606527e-240	0	Dscc1
7.59558084847182e-240	3.01724081707496	0.483	0.123	2.27867425454155e-236	0	Vit
6.73564292027152e-238	2.27395159215478	0.296	0.156	2.02069287608146e-234	0	Rgs6
5.80426849732749e-236	0.655578952929972	0.284	0.134	1.74128054919825e-232	0	Zfpm2
6.85436203159848e-232	31.7640707099079	0.529	0.199	2.05630860947954e-228	0	Creb5
1.78348243348603e-231	2.99851914391355	0.585	0.132	5.35044730045809e-228	0	Ebf2
9.23706805203807e-231	2.10914799398812	0.358	0.148	2.77112041561142e-227	0	Gm19325
1.37348444960677e-226	2.73450746059748	0.526	0.33	4.1204533488203e-223	0	Prrc2c
9.57460544046623e-220	7.27766022824915	0.275	0.125	2.87238163213987e-216	0	Il1r1
3.45809375303519e-219	1.89272157348767	0.285	0.186	1.03742812591056e-215	0	Nmnat3
3.19012533083114e-215	1.54640031683741	0.29	0.178	9.57037599249342e-212	0	Pcdh9
3.59024924293422e-215	5.11631970679294	0.366	0.14	1.07707477288027e-211	0	Fam19a1
2.00650456708532e-212	5.18371417712134	0.53	0.178	6.01951370125597e-209	0	Wipf1
1.29220605594199e-211	4.41412572451945	0.305	0.093	3.87661816782597e-208	0	Wdr63
1.13177118657002e-207	14.8692538309643	0.35	0.102	3.39531355971007e-204	0	Gm10785
6.59241303614576e-206	1.58209187353841	0.364	0.087	1.97772391084373e-202	0	Ugt1a7c
3.15207011696404e-205	22.7523099103449	0.538	0.16	9.45621035089211e-202	0	Col5a3
3.98852492053675e-205	9.00359871783849	0.418	0.168	1.19655747616103e-201	0	Pcsk2
1.50140805067535e-203	0.539876404719266	0.258	0.116	4.50422415202604e-200	0	Tox
1.67310468191677e-197	4.29540554834128	0.27	0.169	5.01931404575032e-194	0	Sphkap
2.17667614046969e-197	0.905335696134124	0.308	0.121	6.53002842140906e-194	0	Gria3
1.20008415436923e-191	8.52353247631905	0.252	0.144	3.60025246310768e-188	0	Dis3l
2.39141623597827e-191	4.78070885501397	0.309	0.112	7.1742487079348e-188	0	Ifi205
1.19525425369304e-189	2.03975969667571	0.293	0.116	3.58576276107911e-186	0	Hs6st3
4.95251485590948e-188	17.0474591033872	0.332	0.158	1.48575445677284e-184	0	Kank1
9.30888624061811e-186	4.55537852810661	0.264	0.095	2.79266587218543e-182	0	Srpx
3.70466136189255e-184	0.700789499213364	0.375	0.118	1.11139840856776e-180	0	Nrk
3.60995004002436e-178	3.76860688123492	0.569	0.196	1.08298501200731e-174	0	Egfr
3.77767013906533e-177	1.09802996643382	0.294	0.101	1.1333010417196e-173	0	Ppp2r2b
2.34229075114442e-176	1.34112397897652	0.546	0.161	7.02687225343327e-173	0	Lama4
2.55952048400339e-176	0.83907841381864	0.303	0.082	7.67856145201017e-173	0	Myoc
4.78259683495191e-169	2.6629592465402	0.585	0.23	1.43477905048557e-165	0	Dlc1
5.37646913612304e-169	6.088405645172	0.303	0.151	1.61294074083691e-165	0	Pde1a
9.91084867759811e-167	7.74340700374491	0.277	0.138	2.97325460327943e-163	0	Slc24a3
2.95331952942772e-166	0.641184709250147	0.302	0.172	8.85995858828316e-163	0	L3mbtl4
3.61532570998845e-164	4.09512008159827	0.518	0.143	1.08459771299654e-160	0	Col14a1
2.22595934972996e-161	9.7087164902978	0.317	0.173	6.67787804918988e-158	0	Knl1
2.89875996822916e-161	16.4170866940132	0.556	0.228	8.69627990468748e-158	0	Gab2
1.35003568990667e-160	3.93899893005201	0.34	0.044	4.05010706972002e-157	0	Plcz1
6.33718392098636e-157	21.1266561934516	0.425	0.127	1.90115517629591e-153	0	Adam33
2.95042296797916e-156	8.39868178025637	0.566	0.311	8.85126890393747e-153	0	Rbms1
6.08514075747094e-156	31.2919414008858	0.469	0.252	1.82554222724128e-152	0	Sema3c
1.13520012818139e-155	2.96881096017702	0.263	0.158	3.40560038454418e-152	0	Shisa6
3.11898982999292e-152	14.8340687115972	0.545	0.12	9.35696948997877e-149	0	Nova1
5.57094062841064e-149	4.91076621696339	0.262	0.158	1.67128218852319e-145	0	Gm12153
6.5135176517171e-149	2.80565061655356	0.278	0.12	1.95405529551513e-145	0	Zfp804b
4.23488075188283e-148	5.83895237445151	0.429	0.118	1.27046422556485e-144	0	Ptch2
8.07887920787866e-145	3.38203664655307	0.496	0.148	2.4236637623636e-141	0	Abca5
1.4933715443958e-139	2.95087300734903	0.405	0.13	4.48011463318739e-136	0	Frmpd4
9.52356456980542e-138	23.6321324315202	0.514	0.279	2.85706937094163e-134	0	Igf1r
7.96848226602345e-137	0.826106705418595	0.512	0.368	2.39054467980704e-133	0	Rbm39
1.54151101973097e-136	3.6872922461726	0.289	0.131	4.62453305919291e-133	0	Acvr1c
1.96764969443477e-132	5.3048243662782	0.291	0.13	5.90294908330431e-129	0	Trhde
3.8478559920707e-130	3.58596764628557	0.551	0.139	1.15435679762121e-126	0	Sdk1
5.86936981240929e-130	2.40242177865282	0.32	0.123	1.76081094372279e-126	0	Gm44626
3.92598466636343e-121	13.7366320278863	0.542	0.137	1.17779539990903e-117	0	Ddr2
5.64753828108401e-121	5.06723142198049	0.514	0.139	1.6942614843252e-117	0	Abca9
3.38566346167199e-118	5.22237586153264	0.358	0.112	1.0156990385016e-114	0	Gm14858
2.00642924789287e-113	4.41826664448488	0.365	0.171	6.01928774367862e-110	0	Adamtsl5
3.58860407128308e-113	2.27981541229685	0.29	0.127	1.07658122138492e-109	0	Lrrtm4
8.93450855028735e-113	4.74871687462512	0.36	0.227	2.68035256508621e-109	0	Peg3
2.82150001187984e-110	0.975980015489299	0.401	0.1	8.46450003563951e-107	0	Thbs1
4.28178003504601e-110	30.291174912442	0.513	0.101	1.2845340105138e-106	0	Adgrd1
6.02942425062462e-109	0.854964399143782	0.543	0.169	1.80882727518739e-105	0	Pid1
7.4075099150326e-109	2.97663833686286	0.479	0.153	2.22225297450978e-105	0	Lamb1
9.30513685038472e-109	5.16672388439567	0.277	0.124	2.79154105511542e-105	0	Fgf10
1.67686462391287e-106	1.01223761868691	0.393	0.143	5.03059387173862e-103	0	Nlgn1
1.70907637235415e-106	1.22453144753277	0.404	0.129	5.12722911706244e-103	0	Efna5
1.91267006362368e-106	1.74887884147689	0.312	0.136	5.73801019087103e-103	0	Negr1
2.20225984300115e-104	2.19540756331864	0.48	0.232	6.60677952900344e-101	0	Galnt17
7.12109642493341e-104	6.73718530671549	0.523	0.159	2.13632892748002e-100	0	Dapk1
1.71032268315551e-99	2.44031035937152	0.255	0.093	5.13096804946654e-96	0	Gpm6b
1.04258318620988e-97	5.0919722567478	0.336	0.12	3.12774955862963e-94	0	Nox4
9.00444209088763e-95	11.1432090569352	0.272	0.091	2.70133262726629e-91	0	Shank2
8.03002785691551e-94	8.172704495948	0.556	0.307	2.40900835707465e-90	0	Zeb1
2.93659118729393e-92	18.4561012355065	0.524	0.143	8.8097735618818e-89	0	Antxr2
3.57048822752401e-92	0.472069967553963	0.281	0.119	1.0711464682572e-88	0	Fbn2
9.46825843937903e-88	9.13261874489621	0.408	0.16	2.84047753181371e-84	0	Gm15675
2.39998313245421e-87	37.5640029044396	0.474	0.082	7.19994939736262e-84	0	Gfpt2
6.61913512581614e-85	1.53324091053732	0.294	0.117	1.98574053774484e-81	0	Boc
7.21534973268679e-85	9.92374285636148	0.339	0.112	2.16460491980604e-81	0	Abca6
3.41806172827243e-83	6.57509727270815	0.291	0.114	1.02541851848173e-79	0	Lrrc4c
7.21700359947116e-83	6.60759529165218	0.291	0.123	2.16510107984135e-79	0	Fam198b
1.35091787739556e-82	8.89323273524342	0.33	0.171	4.05275363218669e-79	0	Adra1a
4.77949766270713e-82	20.8425631889802	0.347	0.106	1.43384929881214e-78	0	Ifi207
2.92490705454883e-81	4.65685514743698	0.299	0.198	8.77472116364649e-78	0	Coq3
4.65650290027514e-81	4.78162346685617	0.539	0.146	1.39695087008254e-77	0	Slit3
1.19713775204535e-79	19.359270254262	0.322	0.135	3.59141325613606e-76	0	Csgalnact1
1.0650748162168e-75	5.52229700504869	0.519	0.217	3.19522444865041e-72	0	Mid1
1.17542767422189e-75	3.27207657738395	0.264	0.086	3.52628302266567e-72	0	Glt8d2
1.74282653061996e-74	3.20112296199728	0.364	0.185	5.22847959185988e-71	0	Col15a1
8.67591518302077e-72	1.82331341836569	0.52	0.189	2.60277455490623e-68	0	Sash1
1.01436518020939e-71	4.2677691246297	0.499	0.156	3.04309554062817e-68	0	Gsn
1.66095534776894e-70	9.97985696162334	0.539	0.203	4.98286604330682e-67	0	Col3a1
6.74829915559511e-70	2.05693104306027	0.272	0.154	2.02448974667853e-66	0	Unc13c
2.28862023604361e-69	6.78658954869241	0.299	0.155	6.86586070813082e-66	0	6330411D24Rik
4.61170796830896e-69	4.70300763629289	0.479	0.244	1.38351239049269e-65	0	Atrnl1
2.84592006863592e-65	2.37983617980496	0.311	0.109	8.53776020590775e-62	0	Mndal
1.56936988380406e-64	16.3327804421844	0.405	0.256	4.70810965141218e-61	0	Mitf
2.76820084574056e-61	5.30485226611696	0.265	0.082	8.30460253722168e-58	0	Gpr1
5.49106247350772e-61	0.653420929832983	0.419	0.164	1.64731874205232e-57	0	Gpc6
4.20587255046777e-60	2.05446310184119	0.382	0.121	1.26176176514033e-56	0	Kcnb2
4.43727024104697e-60	2.731275817434	0.414	0.127	1.33118107231409e-56	0	Brinp3
1.64692416169847e-56	12.1322503412249	0.499	0.096	4.9407724850954e-53	0	Pdgfra
5.32615004131441e-55	3.56040110420376	0.272	0.138	1.59784501239432e-51	0	Spon1
1.00512712262197e-54	4.61438400229104	0.511	0.173	3.01538136786591e-51	0	Ror1
1.69373119313787e-52	28.862182050268	0.363	0.087	5.08119357941362e-49	0	Pi16
3.21666817935949e-52	8.13326692802772	0.455	0.147	9.65000453807846e-49	0	Gm14005
2.47601618006138e-51	4.10794735619106	0.258	0.128	7.42804854018415e-48	0	Col4a6
2.01985190625338e-49	20.8610592220731	0.368	0.087	6.05955571876015e-46	0	Dact2
5.39945608008224e-47	0.753902717806255	0.358	0.134	1.61983682402467e-43	0	Glis3
2.35698175120271e-46	0.513054282573272	0.424	0.262	7.07094525360813e-43	0	Hist1h2af
3.97737643427089e-46	3.84274644652415	0.36	0.138	1.19321293028127e-42	0	Nhsl2
1.52232065022399e-44	7.04341383084687	0.385	0.081	4.56696195067198e-41	0	Crispld2
3.08472510929366e-44	7.23352384692632	0.373	0.146	9.25417532788098e-41	0	Pomk
4.52429263684479e-43	0.340643752732753	0.26	0.108	1.35728779105344e-39	0	Hecw1
5.29926591853634e-43	6.0655797405141	0.454	0.2	1.5897797755609e-39	0	Igf1
1.49584514158045e-42	4.16209518668438	0.269	0.088	4.48753542474136e-39	0	Ccn2
7.3525456977932e-42	1.83621903180353	0.355	0.3	2.20576370933796e-38	0	Dleu2
1.74823472756696e-41	13.2555088249258	0.377	0.148	5.24470418270088e-38	0	Smoc2
8.16694079239472e-41	3.30568696185972	0.449	0.161	2.45008223771842e-37	0	Hdac7
3.35576621450627e-39	8.277347621025	0.353	0.064	1.00672986435188e-35	0	Gm46323
6.79590335906632e-39	20.7886964938006	0.411	0.103	2.03877100771989e-35	0	Dpp4
3.21575256447606e-38	2.34127207967818	0.475	0.315	9.64725769342818e-35	0	Wwox
5.04195801986875e-38	0.375480506204426	0.327	0.2	1.51258740596063e-34	0	Hist1h2ap
2.32448615428839e-36	3.73277037918206	0.353	0.075	6.97345846286518e-33	0	Hhip
