p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	29.8280111517758	0.707	0.092	0	0	Pcdh17
0	16.944699524855	0.833	0.253	0	0	Plekhg1
0	16.4016653095999	0.852	0.288	0	0	Dock4
0	15.9069561559769	0.539	0.112	0	0	Pik3r6
0	15.1768768362533	0.662	0.215	0	0	Myo1e
0	13.3070238387217	0.663	0.124	0	0	2610203C22Rik
0	13.2901848900356	0.508	0.13	0	0	Trpm3
0	13.0021994694414	0.481	0.098	0	0	Arhgef26
0	12.9578133135925	0.812	0.282	0	0	Adgrl2
0	11.8826503680308	0.59	0.116	0	0	Efr3b
0	11.7451725659108	0.829	0.206	0	0	Plcb1
0	11.6506677399017	0.633	0.133	0	0	Arhgef15
0	11.2743183655235	0.65	0.136	0	0	Meox2
0	10.2192160733005	0.594	0.095	0	0	Cd109
0	10.1575351583829	0.502	0.127	0	0	Mest
0	9.98291180337538	0.892	0.198	0	0	Plxnd1
0	9.7934289971175	0.55	0.081	0	0	Gm3383
0	9.79031479569682	0.491	0.186	0	0	Fam171a1
0	9.12766357970803	0.657	0.132	0	0	Tspan13
0	8.84221647977618	0.603	0.097	0	0	Gm3002
0	8.79571462817107	0.548	0.132	0	0	Dcbld1
0	8.64486754653484	0.437	0.095	0	0	Lurap1l
0	8.04215750740287	0.559	0.14	0	0	Colgalt2
0	7.97827484296512	0.628	0.121	0	0	Spata13
0	7.81131361234932	0.752	0.135	0	0	Pald1
0	7.3199846791397	0.739	0.229	0	0	Lrrc8c
0	7.24837247512477	0.887	0.17	0	0	Nav3
0	7.22146604872016	0.535	0.277	0	0	Myh9
0	7.21509842728376	0.651	0.184	0	0	Nxpe4
0	7.17302967429348	0.93	0.243	0	0	Plcb4
0	7.12420137975885	0.754	0.175	0	0	Rnf144a
0	7.06947502368661	0.618	0.285	0	0	Stard9
0	6.94220312913847	0.445	0.098	0	0	Tnfsf10
0	6.77720511785341	0.594	0.184	0	0	Tspan7
0	6.49567704028245	0.935	0.315	0	0	Hspg2
0	6.44827413122933	0.655	0.31	0	0	Snrk
0	6.43995044932382	0.911	0.177	0	0	Cdh5
0	6.20274653531688	0.849	0.167	0	0	Rasgrp3
0	6.00650627828451	0.386	0.117	0	0	Herc6
0	5.57040743813084	0.823	0.161	0	0	Erg
0	5.54198740722222	0.791	0.315	0	0	Lama4
0	5.48772933460991	0.86	0.159	0	0	Kdr
0	5.26416173785285	0.501	0.242	0	0	Stim2
0	5.25965061224231	0.637	0.092	0	0	Papln
0	5.05013196036158	0.856	0.253	0	0	Rapgef5
0	4.88959482484247	0.668	0.211	0	0	Srgap1
0	4.76520193937388	0.701	0.221	0	0	Myo10
0	4.73810947558958	0.767	0.183	0	0	Arap3
0	4.69080228864798	0.568	0.119	0	0	Gm2956
0	4.64209794237734	0.764	0.14	0	0	Zfp366
0	4.61220091829443	0.456	0.142	0	0	Rnf220
0	4.57222274624548	0.616	0.142	0	0	Npr1
0	4.57010311996228	0.571	0.133	0	0	Tmem204
0	4.52430108706257	0.529	0.106	0	0	Mcam
0	4.46808701140334	0.699	0.15	0	0	Ifi203-ps
0	4.43680427031529	0.914	0.169	0	0	Ablim3
