p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	46.6868106416757	0.852	0.303	0	Oligodendrocyte	Nfasc
0	40.8460168849897	0.704	0.077	0	Oligodendrocyte	Mag
0	39.5439202212392	0.238	0.402	0	Oligodendrocyte	Frmd4a
0	39.4686781404028	0.626	0.162	0	Oligodendrocyte	Kndc1
0	38.6558239933539	0.602	0.119	0	Oligodendrocyte	Prr5l
0	35.9187515233881	0.517	0.098	0	Oligodendrocyte	Ccp110
0	35.7977769516996	0.741	0.078	0	Oligodendrocyte	Plxnb3
0	35.4792140078848	0.483	0.149	0	Oligodendrocyte	Ypel2
0	34.6678241793725	0.601	0.051	0	Oligodendrocyte	Myrf
0	34.0340068177283	0.555	0.252	0	Oligodendrocyte	Pak1
0	33.3675220897451	0.731	0.103	0	Oligodendrocyte	Arhgef10
0	33.1888278025197	0.345	0.15	0	Oligodendrocyte	Gm13052
0	30.4066398208954	0.373	0.15	0	Oligodendrocyte	A330015K06Rik
0	30.3991291990754	0.548	0.222	0	Oligodendrocyte	Fbn2
0	29.8964620834141	0.701	0.086	0	Oligodendrocyte	Fa2h
0	29.5026417659823	0.804	0.31	0	Oligodendrocyte	Sept7
0	29.4820358488611	0.517	0.073	0	Oligodendrocyte	Sytl2
0	29.3730520130712	0.527	0.242	0	Oligodendrocyte	Eml1
0	29.0450824247019	0.746	0.279	0	Oligodendrocyte	Dock10
0	28.5900775532578	0.646	0.139	0	Oligodendrocyte	Kazn
0	28.5001213173084	0.705	0.102	0	Oligodendrocyte	Phldb1
0	28.2773262713183	0.925	0.229	0	Oligodendrocyte	Pde4b
0	28.0466388173687	0.708	0.281	0	Oligodendrocyte	Map7
0	27.8438534841396	0.609	0.23	0	Oligodendrocyte	Erbin
0	26.1321987751313	0.473	0.123	0	Oligodendrocyte	Synj2
0	25.9859692548676	0.882	0.336	0	Oligodendrocyte	Dnm3
0	24.4767053750125	0.492	0.198	0	Oligodendrocyte	Sh3gl3
0	24.4450960056799	0.625	0.343	0	Oligodendrocyte	A230057D06Rik
0	23.3446234860381	0.534	0.144	0	Oligodendrocyte	Sirt2
0	22.9616439174625	0.507	0.089	0	Oligodendrocyte	Pde8a
0	22.599980281363	0.661	0.092	0	Oligodendrocyte	Ugt8a
0	22.5441465505124	0.743	0.359	0	Oligodendrocyte	Phlpp1
0	22.5333124232977	0.432	0.151	0	Oligodendrocyte	Rcbtb1
0	22.4803270065024	0.493	0.079	0	Oligodendrocyte	Fgd3
0	21.8856268745039	0.139	0.075	0	Oligodendrocyte	Nkx6-2
0	21.6396358376265	0.683	0.093	0	Oligodendrocyte	Mobp
0	21.5467706896562	0.526	0.077	0	Oligodendrocyte	Sept4
0	21.055530862065	0.749	0.203	0	Oligodendrocyte	Arhgap23
0	20.9811686885672	0.561	0.126	0	Oligodendrocyte	Tubb4a
0	20.360355561797	0.876	0.195	0	Oligodendrocyte	Mbp
0	20.2694324759753	0.667	0.14	0	Oligodendrocyte	Rnf220
0	20.2594627581254	0.452	0.167	0	Oligodendrocyte	Myo1d
0	20.2328783978582	0.755	0.31	0	Oligodendrocyte	Cdc37l1
0	20.1413785238936	0.603	0.09	0	Oligodendrocyte	Gjc3
0	20.1062506756181	0.55	0.067	0	Oligodendrocyte	Bfsp2
0	20.0601722112212	0.846	0.123	0	Oligodendrocyte	Gm16168
0	20.0370937434815	0.912	0.302	0	Oligodendrocyte	Qk
0	19.7048267205154	0.693	0.236	0	Oligodendrocyte	Zfp536
0	19.0981743940925	0.623	0.137	0	Oligodendrocyte	Gab1
0	18.8889639670984	0.667	0.228	0	Oligodendrocyte	Cdk19
0	18.8380789874422	0.564	0.075	0	Oligodendrocyte	Plekhh1
0	18.4556026242211	0.843	0.293	0	Oligodendrocyte	Plcl1
0	17.9569084266029	0.586	0.34	0	Oligodendrocyte	Fnbp1
0	17.8225477449543	0.582	0.282	0	Oligodendrocyte	Ttll7
0	17.560376106434	0.405	0.144	0	Oligodendrocyte	Pik3c2b
0	17.4532325617511	0.77	0.261	0	Oligodendrocyte	Ppp1r16b
0	17.0263217182422	0.574	0.239	0	Oligodendrocyte	Ephb1
0	16.7596231498874	0.388	0.119	0	Oligodendrocyte	Micall1
0	16.6696134321426	0.477	0.275	0	Oligodendrocyte	9530059O14Rik
0	15.9511163495426	0.689	0.289	0	Oligodendrocyte	Ppp2r3a
0	14.8192924047511	0.459	0.136	0	Oligodendrocyte	Cntn2
0	14.7338043967097	0.796	0.313	0	Oligodendrocyte	Frmd5
0	14.5124640242119	0.659	0.263	0	Oligodendrocyte	Ano4
0	14.296038684848	0.731	0.324	0	Oligodendrocyte	Nkain2
0	13.8712246537508	0.663	0.346	0	Oligodendrocyte	St6galnac3
0	13.6336207391576	0.524	0.259	0	Oligodendrocyte	Kif13b
0	13.6171854432905	0.676	0.292	0	Oligodendrocyte	Hipk2
0	13.3966520886316	0.781	0.297	0	Oligodendrocyte	Tmeff2
0	13.2097704076378	0.103	0.097	0	Oligodendrocyte	Gm13187
0	13.1779266664242	0.602	0.333	0	Oligodendrocyte	Mast4
0	12.982327569782	0.636	0.166	0	Oligodendrocyte	Pacs2
0	12.1760409419154	0.632	0.358	0	Oligodendrocyte	Slc24a2
0	12.1508685107837	0.882	0.171	0	Oligodendrocyte	St18
0	12.0729112723948	0.714	0.337	0	Oligodendrocyte	Rtn4
0	12.06219770655	0.37	0.053	0	Oligodendrocyte	Rinl
0	11.913929541616	0.761	0.334	0	Oligodendrocyte	Slc44a1
0	11.5765587728191	0.56	0.259	0	Oligodendrocyte	Vmp1
0	11.3741833123162	0.756	0.114	0	Oligodendrocyte	Bcas1
0	11.1994208830727	0.606	0.205	0	Oligodendrocyte	Slc12a2
0	11.1607588092707	0.551	0.15	0	Oligodendrocyte	Wscd1
0	11.0028449637632	0.245	0.011	0	Oligodendrocyte	Gm43242
0	10.9707223289828	0.771	0.334	0	Oligodendrocyte	Pcdh9
0	10.9699463539526	0.583	0.236	0	Oligodendrocyte	Otud7b
0	10.6671787073005	0.689	0.324	0	Oligodendrocyte	Ankrd28
0	10.0980077065988	0.695	0.071	0	Oligodendrocyte	Tspan2
0	9.74685821946106	0.514	0.22	0	Oligodendrocyte	Dip2a
0	9.70644743848064	0.459	0.094	0	Oligodendrocyte	Tmem163
0	9.40370106093125	0.905	0.146	0	Oligodendrocyte	Plp1
0	8.7065755104211	0.778	0.414	0	Oligodendrocyte	Ncam1
0	8.09297729763303	0.35	0.069	0	Oligodendrocyte	Ddc
0	7.78553660725169	0.7	0.373	0	Oligodendrocyte	Agap1
0	7.43003394803953	0.151	0.25	0	Oligodendrocyte	Eps8
0	7.14380091446846	0.614	0.194	0	Oligodendrocyte	Ctnna3
0	6.70642503187726	0.668	0.387	0	Oligodendrocyte	Malat1
0	6.0054861551951	0.583	0.284	0	Oligodendrocyte	Gm4258
0	5.7296433234037	0.143	0.064	0	Oligodendrocyte	Cyp27a1
0	4.9497229211486	0.675	0.404	0	Oligodendrocyte	Dscaml1
0	4.89589607548336	0.103	0.077	0	Oligodendrocyte	Gm29455
0	4.41849956274469	0.144	0.146	0	Oligodendrocyte	E330020D12Rik
0	4.11810563700558	0.145	0.043	0	Oligodendrocyte	Musk
0	3.96739567664621	0.115	0.108	0	Oligodendrocyte	Rhpn2
0	3.9489572435532	0.086	0.1	0	Oligodendrocyte	C430049B03Rik
0	3.66325961314658	0.097	0.111	0	Oligodendrocyte	Metrn
0	3.37373330857833	0.129	0.062	0	Oligodendrocyte	Gm42716
0	2.98148343934476	0.747	0.112	0	Oligodendrocyte	Enpp2
0	2.85132616621261	0.8	0.388	0	Oligodendrocyte	Zeb2
0	2.79066360143199	0.103	0.074	0	Oligodendrocyte	Gm28802
0	2.74784245228906	0.659	0.164	0	Oligodendrocyte	Sorcs1
0	2.61636687695643	0.244	0.038	0	Oligodendrocyte	8430419K02Rik
0	2.55610819073483	0.153	0.104	0	Oligodendrocyte	Myh6
0	2.46008714225707	0.031	0.113	0	Oligodendrocyte	D630003M21Rik
0	2.26326088752256	0.245	0.095	0	Oligodendrocyte	Cavin2
0	1.82682213219321	0.214	0.097	0	Oligodendrocyte	Ngf
0	1.76228257087634	0.148	0.092	0	Oligodendrocyte	Ppnr
0	1.48009006756869	0.526	0.249	0	Oligodendrocyte	Pex5l
0	1.47838738317822	0.214	0.078	0	Oligodendrocyte	Gm29183
0	1.08182724167016	0.025	0.399	0	Oligodendrocyte	Camk2a
0	1.05937122452242	0.303	0.059	0	Oligodendrocyte	Unc5b
0	1.0153727940452	0.117	0.03	0	Oligodendrocyte	Il13ra2
0	0.81175273707526	0.149	0.062	0	Oligodendrocyte	Zc3h12a
0	0.761012734710583	0.049	0.114	0	Oligodendrocyte	Pdpn
0	0.503318740343936	0.818	0.173	0	Oligodendrocyte	Sox2ot
0	0.299083175588784	0.6	0.28	0	Oligodendrocyte	Slc22a23
4.79030306766579e-306	1.30813922578483	0.109	0.088	1.43709092029974e-302	Oligodendrocyte	Gm4890
3.00336087379195e-305	20.0764256725218	0.122	0.073	9.01008262137585e-302	Oligodendrocyte	AC115119.1
3.91819539171007e-305	1.11609049497238	0.142	0.1	1.17545861751302e-301	Oligodendrocyte	Bard1
9.68226905485078e-302	37.8418714831176	0.375	0.16	2.90468071645523e-298	Oligodendrocyte	Gm49337
9.91948861772815e-302	4.21609581755526	0.122	0.091	2.97584658531844e-298	Oligodendrocyte	Ckap2
1.41760984736368e-301	9.89668471207607	0.423	0.226	4.25282954209103e-298	Oligodendrocyte	Bcl2l1
7.39905014140866e-298	6.10924308066446	0.512	0.101	2.2197150424226e-294	Oligodendrocyte	Rffl
2.0668514398259e-297	1.42262091652658	0.157	0.069	6.20055431947769e-294	Oligodendrocyte	B230323A14Rik
2.9154371686851e-296	4.76379090430066	0.182	0.086	8.74631150605529e-293	Oligodendrocyte	Tprn
5.55137380542068e-295	5.92690323277224	0.755	0.447	1.6654121416262e-291	Oligodendrocyte	mt-Cytb
1.08183466821738e-294	4.65562012817349	0.133	0.093	3.24550400465213e-291	Oligodendrocyte	Pdlim2
2.78454060634991e-289	6.91502153711343	0.206	0.105	8.35362181904972e-286	Oligodendrocyte	Matn4
3.72912334738141e-289	28.097755915483	0.593	0.346	1.11873700421442e-285	Oligodendrocyte	Pak7
1.30466847336586e-288	1.96081307687788	0.146	0.098	3.91400542009757e-285	Oligodendrocyte	3222401L13Rik
3.3895277987374e-287	3.12569648501469	0.153	0.077	1.01685833962122e-283	Oligodendrocyte	7530428D23Rik
1.46727653720638e-285	1.84410188950975	0.068	0.382	4.40182961161915e-282	Oligodendrocyte	Lingo2
1.409733573469e-283	1.57458954872484	0.144	0.098	4.229200720407e-280	Oligodendrocyte	1700018B08Rik
3.03501055185549e-282	10.0977001236602	0.503	0.179	9.10503165556648e-279	Oligodendrocyte	Sema6a
