p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	23.5452050346338	0.704	0.102	0	0	4921539H07Rik
0	15.6048885280295	0.758	0.258	0	0	Arhgap12
0	14.1948457256856	0.677	0.261	0	0	Trpc4
0	12.9955552405353	0.917	0.342	0	0	Slc8a1
0	12.6823363481381	0.788	0.273	0	0	Kcnab1
0	11.8094621633216	0.669	0.396	0	0	Cacna1e
0	11.007736911752	0.913	0.386	0	0	Kcnd2
0	7.40972704347709	0.874	0.271	0	0	Iqgap2
0	6.98645075870099	0.844	0.389	0	0	Magi2
0	6.01885562702999	0.973	0.234	0	0	Hs6st3
0	4.64802024187949	0.916	0.225	0	0	Chrm3
0	4.36954323935177	0.827	0.206	0	0	Nell1
0	3.90395071716858	0.719	0.328	0	0	Ralyl
0	3.87853510630632	0.767	0.378	0	0	Ppp3ca
0	3.64235878578473	0.722	0.345	0	0	St6galnac5
0	3.46047152518158	0.847	0.388	0	0	Grin2b
0	3.1518834849911	0.901	0.385	0	0	Kcnip4
0	2.32224554267921	0.825	0.314	0	0	Cnksr2
0	2.1608186079666	0.868	0.15	0	0	Gm2164
0	1.74804429489443	0.559	0.176	0	0	Pantr1
0	1.5676947885487	0.577	0.17	0	0	Mpped1
0	1.34425996157811	0.922	0.309	0	0	Prkcb
0	0.784573440967577	0.71	0.381	0	0	March1
0	0.716201863909916	0.633	0.406	0	0	Slit3
0	0.433044097486061	0.971	0.239	0	0	Epha6
9.5125920589436e-256	0.851273062379232	0.567	0.28	2.85377761768308e-252	0	2010300C02Rik
3.49270561472777e-198	3.67039709914238	0.558	0.382	1.04781168441833e-194	0	Xkr4
4.25232585071467e-161	1.07187141955258	0.448	0.234	1.2756977552144e-157	0	Npas2
3.09458119885085e-54	2.15700650636476	0.517	0.412	9.28374359655255e-51	0	B3galt1
1.67163579448078e-13	1.35827099294981	0.323	0.149	5.01490738344235e-10	0	Epha10
8.78684280324337e-12	2.07436715184757	0.267	0.389	2.63605284097301e-08	0	Erc2
0.00242733493904144	0.53024465371071	0.263	0.214	1	0	Gm49685
0	18.7306965666136	0.769	0.425	0	1	Dlgap1
0	14.933440692002	0.608	0.316	0	1	Epha7
0	14.2998894722111	0.729	0.328	0	1	Btbd9
0	12.1066240407119	0.712	0.285	0	1	Dgkh
0	9.47880420518598	0.79	0.332	0	1	Ppfia2
0	9.27003952363599	0.593	0.262	0	1	Stxbp6
0	8.06240153822653	0.721	0.264	0	1	Ahcyl2
0	6.98467617040648	0.58	0.281	0	1	Il1rap
0	6.62396007403616	0.683	0.362	0	1	Plxna4
0	6.05390811440883	0.629	0.302	0	1	Tiam1
0	5.41030439141754	0.679	0.419	0	1	Gria1
0	5.27652330246155	0.762	0.271	0	1	Rfx3
0	4.48491995293134	0.372	0.219	0	1	Prdm5
0	3.87370463509391	0.84	0.335	0	1	Lingo2
0	3.57816632957649	0.547	0.272	0	1	Slit1
0	2.82981535790631	0.661	0.302	0	1	Lyst
0	2.71734981462097	0.784	0.38	0	1	Lrp1b
0	2.47456429476266	0.815	0.349	0	1	Ryr2
0	1.97332309909045	0.81	0.352	0	1	Erc2
0	1.82680840154143	0.683	0.313	0	1	Shisa9
0	1.35110973029492	0.601	0.279	0	1	Pitpnm2
0	0.255201046223359	0.717	0.402	0	1	Slit3
3.97122030398659e-307	2.14836951649592	0.537	0.284	1.19136609119598e-303	1	2010300C02Rik
6.68372964510783e-284	0.75198556503914	0.593	0.312	2.00511889353235e-280	1	Sphkap
3.13829319599198e-283	4.17142601902335	0.548	0.364	9.41487958797595e-280	1	Tenm2
1.66408935761099e-282	2.88399084672086	0.601	0.344	4.99226807283296e-279	1	B230303A05Rik
3.562335634492e-225	2.4288601103307	0.606	0.42	1.0687006903476e-221	1	Ank3
5.06757082609214e-225	1.73683004195917	0.39	0.229	1.52027124782764e-221	1	Rasgrf2
6.75231416979005e-214	0.307175348905783	0.521	0.297	2.02569425093701e-210	1	Iqgap2
2.72767096222638e-197	3.89211034352487	0.554	0.365	8.18301288667914e-194	1	Nr3c2
6.61661569594558e-176	7.84146172684576	0.371	0.271	1.98498470878367e-172	1	Mef2c
2.94086606683751e-174	2.1986741051984	0.431	0.262	8.82259820051254e-171	1	Htr4
1.77159147730357e-113	1.35816022892054	0.312	0.428	5.3147744319107e-110	1	Ctnna2
1.33584592089887e-105	2.57002301521926	0.394	0.254	4.0075377626966e-102	1	Ptchd4
6.52938767711982e-94	0.858074795957872	0.418	0.295	1.95881630313595e-90	1	Cyp7b1
5.27316703141415e-77	0.949383596322598	0.289	0.26	1.58195010942424e-73	1	Pcdha6
4.82067814922253e-52	6.27005338719237	0.453	0.342	1.44620344476676e-48	1	D430041D05Rik
9.23506594498648e-09	3.66208137879165	0.313	0.293	2.77051978349594e-05	1	4930578G10Rik
0.00904654496984784	3.34618406562599	0.373	0.37	1	1	Pard3
0	25.0231680259641	0.908	0.381	0	2	Dock4
0	20.9116580492099	0.883	0.216	0	2	Ccbe1
0	20.0818493770872	0.978	0.278	0	2	Grik4
0	19.6496730122689	0.18	0.347	0	2	Khdrbs2
0	19.2187529154346	0.793	0.231	0	2	Cntnap5c
0	18.1322722883956	0.716	0.36	0	2	Galnt17
0	17.678129125361	0.868	0.388	0	2	Rbfox1
0	16.7891596242364	0.928	0.205	0	2	Spock1
0	16.0184798085409	0.743	0.329	0	2	Ryr3
