p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	44.9699899469279	0.13	0.06	0	Glial	Cldn14
0	42.3367219794081	0.702	0.238	0	Glial	Nckap5
0	40.28755173212	0.204	0.148	0	Glial	Gm13052
0	39.3820564604405	0.222	0.089	0	Glial	Fa2h
0	38.5336134848582	0.174	0.091	0	Glial	Mag
0	37.1741400594285	0.16	0.193	0	Glial	Kndc1
0	36.4888007074551	0.106	0.098	0	Glial	A230001M10Rik
0	36.3709207220352	0.199	0.128	0	Glial	Prr5l
0	36.2987950505633	0.198	0.077	0	Glial	Tspan2
0	35.6850105972551	0.134	0.108	0	Glial	Mog
0	35.5177806709028	0.189	0.166	0	Glial	Gm49337
0	34.9083314194716	0.25	0.081	0	Glial	Nkx2-2os
0	34.4072991037417	0.085	0.139	0	Glial	C030029H02Rik
0	33.799924740251	0.164	0.082	0	Glial	S100a3
0	33.1972287916215	0.23	0.087	0	Glial	Zfp488
0	33.192126382315	0.244	0.089	0	Glial	Nkx2-2
0	33.1733105752866	0.139	0.173	0	Glial	Ypel2
0	33.1412994942022	0.088	0.173	0	Glial	Cemip2
0	31.7965953635069	0.142	0.112	0	Glial	Neu4
0	31.7389609960823	0.184	0.07	0	Glial	Gpr17
0	31.1330123789697	0.127	0.089	0	Glial	Sec14l5
0	30.6494954338956	0.188	0.078	0	Glial	Aass
0	30.01783739276	0.152	0.066	0	Glial	Gal3st1
0	29.3818254069342	0.151	0.124	0	Glial	Tnfaip6
0	29.2916199968191	0.075	0.104	0	Glial	Cyp2j12
0	29.240047359489	0.239	0.109	0	Glial	Gm37679
0	28.9610774032798	0.207	0.068	0	Glial	AI464131
0	28.8464508530361	0.313	0.202	0	Glial	Kcnip3
0	28.1780685772501	0.142	0.076	0	Glial	Adamts4
0	28.0831877751446	0.112	0.175	0	Glial	A330015K06Rik
0	28.0783022426751	0.198	0.249	0	Glial	Fbn2
0	28.0487788745829	0.172	0.096	0	Glial	Erbb3
0	27.8990432497751	0.133	0.404	0	Glial	Tmem108
0	27.1920448116353	0.487	0.295	0	Glial	Sept7
0	26.5909729843294	0.196	0.077	0	Glial	2900052N01Rik
0	26.3717105334595	0.176	0.07	0	Glial	Retsat
0	26.0698962335365	0.564	0.146	0	Glial	Itpr2
0	26.017883282176	0.204	0.082	0	Glial	Dio2
0	25.9536088576217	0.497	0.202	0	Glial	Pde4b
0	25.4299157656778	0.111	0.058	0	Glial	Gm32633
0	25.2259296355781	0.105	0.051	0	Glial	A230009B12Rik
0	25.1517768298922	0.138	0.084	0	Glial	Cldn11
0	25.0332905844333	0.158	0.072	0	Glial	Srpk3
0	24.7081348282176	0.178	0.089	0	Glial	Lcat
0	24.6650844178976	0.219	0.077	0	Glial	Gm26512
0	24.5791314406915	0.129	0.084	0	Glial	Aqp9
0	24.5638580141123	0.123	0.104	0	Glial	Ermn
0	24.3981671680974	0.135	0.1	0	Glial	Heph
0	24.320633762162	0.134	0.055	0	Glial	Rtkn2
0	24.1700871709602	0.232	0.077	0	Glial	Matn4
0	24.0368769700953	0.242	0.143	0	Glial	Sirt2
0	23.9201770646313	0.551	0.112	0	Glial	Bcan
0	23.8408488700862	0.202	0.083	0	Glial	C030018K13Rik
0	23.8261900888078	0.121	0.146	0	Glial	Synj2
0	23.8257501785664	0.218	0.067	0	Glial	Dbx2
0	23.8008282324023	0.284	0.08	0	Glial	Scrg1
0	23.2230205384956	0.075	0.102	0	Glial	Gm44866
0	23.2196209293217	0.286	0.217	0	Glial	Ncan
0	23.1898421104568	0.115	0.08	0	Glial	Gm9925
0	23.0629892634409	0.512	0.201	0	Glial	Acsl3
0	22.9704821210065	0.163	0.071	0	Glial	Tmem88b
0	22.8646575952233	0.257	0.1	0	Glial	Fgfrl1
0	22.7567275638696	0.518	0.303	0	Glial	Tspan7
0	22.7490515502042	0.572	0.106	0	Glial	Kank1
0	22.700596988389	0.053	0.113	0	Glial	Hapln2
0	22.6889652390914	0.169	0.099	0	Glial	Nkain1
0	22.6412387256857	0.619	0.315	0	Glial	Phlpp1
0	22.6144220823563	0.234	0.081	0	Glial	Kcnj16
