p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	41.8888455102179	0.943	0.149	0	MFOL	Tns3
0	38.85254443622	0.708	0.159	0	MFOL	Gm49337
0	36.0062213437248	0.955	0.354	0	MFOL	Fyn
0	34.9304799231848	0.75	0.306	0	MFOL	Ust
0	34.5450447638084	0.824	0.146	0	MFOL	Gm13052
0	34.0143342793637	0.598	0.259	0	MFOL	Sema4d
0	31.5334790733131	0.762	0.173	0	MFOL	Ppfibp1
0	28.9959889593006	0.878	0.22	0	MFOL	Itpr2
0	27.8799243890092	0.883	0.313	0	MFOL	Tnr
0	27.2698941612281	0.891	0.353	0	MFOL	Dnm3
0	26.2040161543959	0.747	0.152	0	MFOL	Mpzl1
0	25.7670779867097	0.751	0.349	0	MFOL	A230057D06Rik
0	23.4581013595011	0.75	0.314	0	MFOL	Lcorl
0	23.0061105646498	0.856	0.15	0	MFOL	Sirt2
0	21.7387903528545	0.85	0.151	0	MFOL	Kazn
0	21.4564302063748	0.83	0.096	0	MFOL	Plxnb3
0	19.7648156790925	0.791	0.15	0	MFOL	Abtb2
0	18.5269590746503	0.673	0.105	0	MFOL	Gnb4
0	17.9967167741219	0.85	0.274	0	MFOL	9530059O14Rik
0	17.9021973137919	0.836	0.141	0	MFOL	Tcf7l2
0	16.8818087040469	0.743	0.059	0	MFOL	Enpp6
0	14.2694768486613	0.671	0.328	0	MFOL	2610035D17Rik
0	12.6930647186138	0.97	0.129	0	MFOL	Bcas1
0	11.5679890747226	0.801	0.321	0	MFOL	Nfasc
0	11.5511089774265	0.747	0.108	0	MFOL	Arhgap24
0	10.607764423294	0.81	0.183	0	MFOL	Epb41l2
0	10.5609831795787	0.842	0.346	0	MFOL	Slc44a1
0	9.97509840519384	0.721	0.079	0	MFOL	Bfsp2
0	9.68435299730872	0.823	0.145	0	MFOL	Gm16168
0	8.58282181177151	0.967	0.32	0	MFOL	Qk
0	8.27478758064619	0.743	0.225	0	MFOL	Sox6
0	7.40321146523102	0.674	0.18	0	MFOL	Pacs2
0	7.25355457687196	0.754	0.072	0	MFOL	9630013A20Rik
0	7.07277450821716	0.728	0.186	0	MFOL	Arhgef10l
0	4.91681337973251	0.829	0.373	0	MFOL	Dscam
0	4.49305830486955	0.693	0.223	0	MFOL	Rasgef1b
