MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1915609	0610010K14Rik	RIKEN cDNA 0610010K14 gene	11		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1923025	4930402K13Rik	RIKEN cDNA 4930402K13 gene	X		transcription initiation-coupled chromatin remodeling			IBA	PTN001667555 	J:265628 	
MGI:1922160	4930480E11Rik	RIKEN cDNA 4930480E11 gene	X		transcription initiation-coupled chromatin remodeling			IBA	PTN001667555 	J:265628 	
MGI:87853	a	nonagouti	2		epigenetic regulation of gene expression			IMP	MGI:1855930 	J:82396 	
MGI:87853	a	nonagouti	2		epigenetic regulation of gene expression			IMP	MGI:1855937 	J:82396 	
MGI:87853	a	nonagouti	2		genomic imprinting			IMP	MGI:1855930 	J:82396 	
MGI:87853	a	nonagouti	2		genomic imprinting			IMP	MGI:1855937 	J:82396 	
MGI:1917931	Abraxas1	BRCA1 A complex subunit	5		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:87904	Actb	actin, beta	5		chromatin remodeling			IC		J:283189 J:320039 	
MGI:1861453	Actl6a	actin-like 6A	3		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1861453	Actl6a	actin-like 6A	3		chromatin remodeling			IC		J:283189 J:320039 	
MGI:1861453	Actl6a	actin-like 6A	3		chromatin remodeling			IDA		J:51248 	
MGI:1861453	Actl6a	actin-like 6A	3		chromatin remodeling			ISO	O96019 	J:164563 	
MGI:1933548	Actl6b	actin-like 6B	5		chromatin organization			IC	GO:0016514 	J:80453 	
MGI:1933548	Actl6b	actin-like 6B	5		chromatin remodeling			IC		J:283189 J:320039 	
MGI:1933548	Actl6b	actin-like 6B	5		chromatin remodeling			ISO	O94805 	J:164563 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		chromatin remodeling			ISO	Q9H9F9 	J:164563 	
MGI:1914269	Actr6	ARP6 actin-related protein 6	10		chromatin remodeling			IEA	IPR030054 	J:72247 	
MGI:1860775	Actr8	ARP8 actin-related protein 8	14		chromatin remodeling			ISO	Q9H981 	J:164563 	
MGI:1338038	Aebp2	AE binding protein 2	6		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1342279	Aicda	activation-induced cytidine deaminase	6		negative regulation of DNA methylation-dependent heterochromatin formation			ISO	Q9GZX7 	J:164563 	
MGI:1353471	Airn	antisense Igf2r RNA	17		regulation of gene expression by genomic imprinting			IMP	MGI:2677157 	J:77594 	
MGI:1353471	Airn	antisense Igf2r RNA	17		regulation of gene expression by genomic imprinting	happens in chorioallantoic placenta,uses Slc22a3		IMP		J:142233 	
MGI:1919291	Alkbh4	alkB homolog 4, lysine demethylase	5		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1919291	Alkbh4	alkB homolog 4, lysine demethylase	5		regulation of chromatin organization			IDA		J:278437 	
MGI:1914878	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	4		nucleosome assembly			ISO	Q92688 	J:164563 	
MGI:1913721	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	3		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:107765	Apbb1	amyloid beta (A4) precursor protein-binding, family B, member 1	7		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1919353	Aplf	aprataxin and PNKP like factor	6		DNA repair-dependent chromatin remodeling			ISO	Q8IW19 	J:164563 	
MGI:103298	Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	6		negative regulation of DNA methylation-dependent heterochromatin formation			IMP		J:175307 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		chromatin organization			IPI	PR:Q6DIC0 	J:69532 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		chromatin remodeling			IC		J:320039 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		chromatin remodeling			IMP	MGI:3796520 	J:134633 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		chromatin remodeling			ISO	O14497 	J:164563 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		nucleosome disassembly			ISO	O14497 	J:164563 	
MGI:1926129	Arid1b	AT rich interactive domain 1B (SWI-like)	17		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1926129	Arid1b	AT rich interactive domain 1B (SWI-like)	17		chromatin remodeling			IC	GO:0071565 	J:199644 	
MGI:1926129	Arid1b	AT rich interactive domain 1B (SWI-like)	17		chromatin remodeling			IC		J:320039 	
MGI:1924294	Arid2	AT rich interactive domain 2 (ARID, RFX-like)	15		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1924294	Arid2	AT rich interactive domain 2 (ARID, RFX-like)	15		chromatin remodeling			IC		J:320039 	
MGI:1924294	Arid2	AT rich interactive domain 2 (ARID, RFX-like)	15		nucleosome disassembly			ISO	Q68CP9 	J:164563 	
MGI:2444354	Arid4a	AT rich interactive domain 4A (RBP1-like)	12		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:2444354	Arid4a	AT rich interactive domain 4A (RBP1-like)	12		regulation of gene expression by genomic imprinting			IGI	MGI:2137512 	J:113402 	
MGI:2137512	Arid4b	AT rich interactive domain 4B (RBP1-like)	13		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:2137512	Arid4b	AT rich interactive domain 4B (RBP1-like)	13		regulation of gene expression by genomic imprinting			IGI	MGI:2444354 	J:113402 	
MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	10		chromatin organization			IBA	PTN000247832 	J:265628 	
MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	10		DNA replication-dependent chromatin assembly			IBA	PTN000247832 	J:265628 	
MGI:1913653	Asf1a	anti-silencing function 1A histone chaperone	10		nucleosome assembly			ISO	Q9Y294 	J:73065 	
MGI:1914179	Asf1b	anti-silencing function 1B histone chaperone	8		chromatin organization			IBA	PTN000247832 	J:265628 	
MGI:1914179	Asf1b	anti-silencing function 1B histone chaperone	8		DNA replication-dependent chromatin assembly			IBA	PTN000247832 	J:265628 	
MGI:1914179	Asf1b	anti-silencing function 1B histone chaperone	8		nucleosome assembly			IDA		J:85416 	
MGI:1914179	Asf1b	anti-silencing function 1B histone chaperone	8		nucleosome assembly			ISO	Q9NVP2 	J:164563 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit	8		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit	8		transcription initiation-coupled chromatin remodeling	happens in embryonic stem cell		NAS		J:185349 	
MGI:2684063	Asxl1	ASXL transcriptional regulator 1	2		chromatin organization			IEA	KW-0156 	J:60000 	
MGI:1917722	Atad2	ATPase family, AAA domain containing 2	15		chromatin organization			IEA	IPR031252 	J:72247 	
